,brlcad.csv,jmri.csv,critterding.csv,popeye-chess.csv,alpine.csv,yarp.csv,nabu-library.csv,biodwh.csv
alpine.csv,0.35,0.75,0.8,0.94,1.0,0.4,0.67,0.18
biodwh.csv,0.26,0.68,0.88,0.88,0.09,0.8,0.83,1.0
brlcad.csv,0.9,0.46,0.36,0.4,0.06,0.38,0.44,0.12
critterding.csv,0.19,0.48,1.0,0.56,0.08,0.45,0.76,0.24
jmri.csv,0.25,1.0,0.44,0.51,0.06,0.42,0.47,0.17
nabu-library.csv,0.24,0.47,0.47,0.53,0.11,0.39,1.0,0.14
popeye-chess.csv,0.29,0.53,0.53,0.97,0.12,0.48,0.72,0.16
yarp.csv,0.36,0.52,0.62,0.5,0.12,1.0,0.07,0.22
