,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.97,0.83,0.94,0.93,0.77,0.06,0.83
kftpgrabber.csv,0.69,0.67,1.0,0.04,1.0,0.68,0.82
kindb.csv,0.46,0.53,0.06,0.52,0.52,0.71,0.34
m-a-d-n-e-s-s.csv,0.62,0.0,0.62,0.57,0.79,0.84,0.7
netatalk.csv,0.5,0.48,0.48,0.47,0.0,0.86,0.67
quickfast.csv,0.54,0.79,0.79,0.57,0.7,0.7,0.0
wow-qrsk.csv,0.04,0.8,0.74,0.58,0.86,0.75,0.81
