,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.07,0.23,1.0,0.67,0.24,1.0,1.0
kftpgrabber.csv,0.2,0.45,0.66,0.97,0.27,0.22,0.52
kindb.csv,0.32,0.44,0.97,0.45,0.42,0.24,0.81
m-a-d-n-e-s-s.csv,0.46,1.0,1.0,0.68,1.0,0.25,0.88
netatalk.csv,0.43,0.56,0.86,0.59,1.0,0.15,0.65
quickfast.csv,0.27,0.32,0.68,0.41,0.32,0.23,1.0
wow-qrsk.csv,0.99,0.56,1.0,0.41,0.4,0.24,0.9
