,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.64,0.51,0.63,0.99,0.85,0.75,0.67,0.54,0.78,0.63,0.62,0.88,0.72,0.51,0.71,0.82,0.78
apertium.csv,0.39,0.41,0.4,0.48,0.43,0.41,0.42,0.44,0.4,0.46,0.72,0.5,0.43,0.37,0.67,0.62,0.33
beast-mcmc.csv,0.7,0.57,0.71,0.69,0.93,0.65,0.63,0.48,0.73,0.61,0.41,0.91,0.39,0.69,0.54,0.73,0.62
cuberok.csv,0.5,0.58,0.44,0.47,0.47,0.41,0.45,0.6,0.48,0.64,0.62,0.42,0.78,0.39,0.77,0.65,0.39
icescrum.csv,0.58,0.58,0.47,0.68,0.58,0.89,0.49,0.47,0.57,0.48,0.61,0.8,0.42,0.47,0.65,0.5,0.58
ingex.csv,0.77,0.83,0.92,0.96,0.67,0.6,0.77,0.83,0.95,0.59,0.86,0.8,0.57,0.91,0.92,0.8,0.89
jbasic.csv,0.63,0.63,0.51,0.62,0.64,0.8,0.59,0.5,0.62,0.58,0.66,0.69,0.56,0.79,0.62,0.73,0.62
jgnash.csv,0.64,0.92,0.87,0.83,0.86,0.55,0.75,0.5,0.95,0.8,0.87,0.75,0.75,0.9,0.75,0.75,0.46
jrefactory.csv,0.51,0.64,0.55,0.58,0.48,0.42,0.57,0.4,0.52,0.65,0.54,0.54,0.43,0.36,0.58,0.57,0.48
jsecurity.csv,0.65,0.68,0.89,0.84,0.88,0.6,0.72,0.47,0.65,0.59,0.94,0.77,0.44,0.64,0.64,0.62,0.82
libopenmetaverse.csv,0.47,0.46,0.45,0.54,0.59,0.54,0.46,0.45,0.54,0.47,0.59,0.47,0.49,0.64,0.51,0.57,0.45
mobicents.csv,0.52,0.59,0.44,0.71,0.63,0.57,0.52,0.64,0.59,0.5,0.73,0.83,0.45,0.5,0.73,0.8,0.71
opendvr.csv,0.36,0.57,0.48,0.61,0.56,0.39,0.42,0.61,0.56,0.51,0.54,0.62,0.75,0.44,0.6,0.85,0.33
openefm.csv,0.58,0.65,0.62,0.96,0.6,0.59,0.63,0.86,0.6,0.5,0.91,0.83,0.52,0.55,0.84,0.83,0.55
power-architect.csv,0.41,0.48,0.42,0.42,0.44,0.4,0.4,0.42,0.45,0.52,0.54,0.41,0.42,0.41,0.48,0.52,0.31
sidekar.csv,0.38,0.49,0.41,0.45,0.5,0.44,0.4,0.42,0.43,0.63,0.44,0.47,0.47,0.41,0.47,0.58,0.32
yarp0.csv,0.43,0.52,0.48,0.48,0.6,0.63,0.48,0.88,0.74,0.49,0.53,0.67,0.35,0.36,0.62,0.61,0.55
