,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.36,0.41,0.63,0.09,0.42,0.33,0.52,0.43,0.21,0.48,0.32,0.24,0.45,0.63,0.94,0.37,0.38
apertium.csv,0.53,0.55,0.44,0.47,0.72,0.49,0.62,0.45,0.3,0.72,1.0,0.39,0.47,0.7,0.32,0.11,0.61
beast-mcmc.csv,0.98,0.49,0.33,0.24,0.28,0.42,0.43,0.47,0.32,0.33,0.45,0.15,0.52,0.31,0.49,0.18,0.56
cuberok.csv,0.47,0.5,0.74,0.34,0.74,0.61,0.58,0.9,0.36,0.49,0.43,0.38,0.25,0.67,0.3,0.46,0.62
icescrum.csv,0.62,0.44,0.44,0.31,0.53,0.27,0.56,0.41,0.3,0.72,0.33,0.38,0.6,0.62,0.34,0.08,1.0
ingex.csv,0.34,0.26,0.22,0.25,0.35,0.43,0.38,0.21,0.27,0.46,0.19,0.1,0.98,0.28,0.26,0.22,0.36
jbasic.csv,0.45,0.41,0.47,0.26,0.52,0.43,0.45,0.41,0.27,0.99,0.44,0.41,0.3,0.29,0.42,0.12,0.44
jgnash.csv,0.35,0.31,0.24,0.24,0.17,0.52,0.38,0.08,0.89,0.28,0.25,0.2,0.0,0.31,0.09,0.08,0.44
jrefactory.csv,0.44,0.46,0.98,0.25,0.68,0.59,0.5,0.53,0.22,0.46,0.4,0.35,0.52,0.73,0.61,0.34,0.48
jsecurity.csv,0.38,0.45,0.26,0.97,0.4,0.39,0.5,0.44,0.24,0.53,0.14,0.28,0.62,0.53,0.48,0.39,0.47
libopenmetaverse.csv,0.3,0.43,0.63,0.32,0.65,0.99,0.58,0.48,0.23,0.62,0.41,0.41,0.42,0.56,0.57,0.51,0.42
mobicents.csv,0.45,0.51,0.44,0.38,0.57,0.31,0.99,0.32,0.23,0.44,0.27,0.29,0.56,0.62,0.41,0.27,0.3
opendvr.csv,0.39,0.48,0.67,0.31,0.55,0.6,0.64,0.52,0.31,0.59,0.48,0.16,0.33,0.83,0.36,0.95,0.58
openefm.csv,0.34,0.97,0.32,0.21,0.43,0.41,0.49,0.28,0.2,0.59,0.06,0.21,0.65,0.45,0.2,0.07,0.51
power-architect.csv,0.4,0.47,0.7,0.4,0.74,0.67,0.65,0.6,0.27,0.57,0.48,0.49,0.47,1.0,0.52,0.51,0.57
sidekar.csv,0.47,0.39,0.7,0.41,1.0,0.56,0.64,0.54,0.34,0.36,0.54,0.51,0.51,0.7,0.53,0.35,0.53
yarp0.csv,0.44,0.37,0.46,0.31,0.63,0.38,0.58,0.13,0.32,0.62,0.55,0.97,0.58,0.62,0.36,0.19,0.62
