,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.02,0.0,0.03,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.03,0.13,0.0,1.0
columba.csv,0.78,0.7,0.73,0.48,0.71,0.64,1.0,0.41,0.6,1.0,0.64,0.43,0.69,1.0
encog-cs.csv,0.94,0.82,0.77,0.67,0.87,0.44,1.0,0.49,0.8,1.0,0.81,0.77,1.0,1.0
fido.csv,0.1,0.0,0.0,0.0,0.06,0.0,1.0,0.02,0.0,0.24,0.13,0.0,0.9,0.0
flexpay.csv,0.31,0.52,0.63,0.59,0.51,0.16,0.25,0.27,0.2,0.18,0.82,0.57,0.51,0.4
fluent-nhibernate.csv,0.73,0.33,0.47,0.45,0.51,0.4,0.25,0.2,0.2,0.94,0.34,0.3,0.32,0.0
geochat.csv,0.12,0.03,0.07,0.03,0.21,0.04,0.0,0.33,0.0,0.06,0.51,0.6,0.03,0.0
gpsmid.csv,0.76,0.64,0.93,0.56,0.67,0.68,1.0,0.94,0.4,0.88,0.68,0.93,0.93,1.0
k3d.csv,0.02,0.09,0.83,0.12,0.08,0.24,0.0,0.11,0.0,0.35,0.21,0.17,0.29,0.0
m-a-d-n-e-s-s.csv,0.22,0.06,0.13,0.12,0.29,0.68,0.0,0.26,0.2,0.59,0.32,0.17,0.2,0.2
mob-sen-plat.csv,0.9,0.67,0.7,0.73,0.99,0.76,0.5,0.57,0.2,0.94,0.67,0.3,0.85,1.0
ninject.csv,0.39,0.06,0.37,0.15,0.31,0.76,0.25,0.51,1.0,0.41,0.25,0.33,0.32,0.2
uface.csv,0.82,0.67,0.97,0.94,0.81,1.0,1.0,0.86,1.0,0.94,0.8,0.97,0.94,1.0
v8.csv,0.71,0.12,0.47,0.86,0.52,0.88,0.5,0.84,0.6,0.82,0.75,0.4,0.71,0.0
