,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.04,0.0,0.06,0.0,0.06,0.0,0.0,0.04,0.0,0.0,0.06,0.16,0.0,0.91
columba.csv,0.71,0.73,0.35,0.48,0.33,0.53,0.09,0.58,0.5,0.27,0.58,0.38,0.75,0.25
encog-cs.csv,0.73,0.7,0.26,0.6,0.29,0.35,0.08,0.64,0.19,0.17,0.42,0.38,0.8,0.2
fido.csv,0.19,0.0,0.0,0.0,0.1,0.0,0.38,0.04,0.0,0.28,0.22,0.0,0.82,0.0
flexpay.csv,0.42,0.52,0.21,0.42,0.37,0.2,0.04,0.42,0.08,0.16,0.5,0.44,0.64,0.27
fluent-nhibernate.csv,0.73,0.45,0.39,0.47,0.31,0.37,0.06,0.33,0.17,0.48,0.43,0.28,0.46,0.0
geochat.csv,0.2,0.05,0.06,0.06,0.18,0.05,0.0,0.49,0.0,0.07,0.37,0.49,0.05,0.0
gpsmid.csv,0.78,0.62,0.26,0.47,0.31,0.45,0.14,0.94,0.19,0.31,0.5,0.38,0.85,0.26
k3d.csv,0.04,0.17,0.62,0.19,0.11,0.27,0.0,0.19,0.0,0.27,0.3,0.25,0.41,0.0
m-a-d-n-e-s-s.csv,0.37,0.11,0.15,0.18,0.23,0.61,0.0,0.41,0.17,0.25,0.39,0.25,0.33,0.1
mob-sen-plat.csv,0.73,0.73,0.36,0.5,0.3,0.53,0.05,0.71,0.11,0.21,0.52,0.3,0.78,0.18
ninject.csv,0.5,0.11,0.18,0.23,0.25,0.46,0.06,0.67,0.59,0.15,0.27,0.27,0.44,0.08
uface.csv,0.73,0.62,0.27,0.56,0.32,0.46,0.09,0.89,0.19,0.22,0.53,0.39,0.95,0.19
v8.csv,0.63,0.2,0.2,0.49,0.25,0.45,0.07,0.92,0.11,0.26,0.43,0.34,0.68,0.0
