,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.83,0.71,0.0,0.7,0.75,0.47,0.48,0.74,0.9,0.75,0.45,0.0,0.65,0.44,0.92
bibletime.csv,0.4,0.53,0.32,0.4,0.45,0.42,0.45,0.43,0.37,0.39,0.37,0.39,0.46,0.42,0.51
boost.csv,0.53,0.51,0.61,0.39,0.73,0.42,0.42,0.49,0.35,0.39,0.36,0.5,0.43,0.41,0.52
doomlegacy.csv,0.4,0.5,0.32,0.35,0.45,0.43,0.37,0.41,0.35,0.39,0.34,0.39,0.41,0.35,0.48
gpac.csv,0.4,0.52,0.32,0.38,0.45,0.42,0.42,0.4,0.36,0.39,0.36,0.39,0.44,0.39,0.49
kftpgrabber.csv,0.0,0.52,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0
nativeclient.csv,0.56,0.52,0.0,0.38,0.51,0.42,0.42,0.39,0.3,0.3,0.36,0.91,0.44,0.39,0.43
netatalk.csv,0.4,0.86,0.32,0.54,0.45,0.61,0.71,0.4,0.36,0.35,0.48,0.39,0.54,0.42,0.48
open-ms.csv,0.97,0.52,0.0,0.38,0.91,0.42,0.42,0.36,0.3,0.3,0.36,0.0,0.44,0.39,0.4
openmsx.csv,0.0,0.52,0.0,0.38,0.0,0.42,0.42,0.87,0.0,0.0,0.36,0.0,0.44,0.39,0.81
rosegarden.csv,0.69,0.52,0.0,0.38,0.47,0.42,0.42,0.4,0.32,0.37,0.36,0.5,0.44,0.39,0.49
rsyslog.csv,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sandiaportals.csv,0.0,0.52,0.0,0.5,0.0,0.43,0.71,0.0,0.0,0.0,0.55,0.0,0.82,0.44,0.0
xmoto.csv,0.0,0.55,0.0,0.5,0.0,0.43,0.37,0.93,0.0,0.0,0.34,0.0,0.5,0.38,0.67
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.67,0.67,0.0,0.54,0.0,0.88,0.5,0.0
