,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.46,0.36,0.35,0.78,0.57,0.56,0.08,0.67,0.62,0.72,0.75,0.68,0.0,0.35,0.09,0.6,0.49,0.0,0.07
beast-mcmc.csv,0.61,0.59,0.4,0.66,0.64,0.61,0.48,0.67,0.42,0.82,0.84,0.65,0.45,0.41,0.67,0.55,0.66,0.8,0.11
bigdata.csv,0.47,0.54,0.39,0.67,0.61,0.53,0.56,0.29,0.11,0.64,0.81,0.57,0.4,0.41,0.65,0.4,0.74,0.8,0.12
codesmith.csv,0.36,0.67,0.33,0.73,0.58,0.59,0.45,0.63,0.08,0.72,0.57,0.28,0.41,0.13,0.4,0.48,0.86,0.63,0.18
coot.csv,0.23,0.69,0.23,0.63,0.05,0.42,0.47,0.25,0.33,0.59,0.58,0.04,0.0,0.39,0.72,0.33,0.49,0.0,0.08
cuberok.csv,0.46,0.34,0.3,0.45,0.6,0.48,0.72,0.41,0.4,0.54,0.73,0.57,0.46,0.35,0.34,0.54,0.34,0.73,0.1
icescrum.csv,0.57,0.48,0.3,0.61,0.39,0.6,0.49,0.69,0.52,0.59,0.54,0.53,0.29,0.48,0.51,0.79,0.26,0.56,0.13
jbasic.csv,0.47,0.52,0.28,0.77,0.56,0.66,0.49,0.72,0.46,0.83,0.59,0.68,0.45,0.49,0.67,0.56,0.42,0.82,0.2
jrefactory.csv,0.25,0.69,0.24,0.34,0.19,0.36,0.42,0.39,0.39,0.19,0.3,0.43,0.34,0.4,0.61,0.41,0.69,0.6,0.12
jsecurity.csv,0.38,0.43,0.53,0.37,0.51,0.51,0.35,0.39,0.19,0.43,0.44,0.54,0.24,0.17,0.69,0.32,0.72,0.57,0.29
kolmafia.csv,0.43,0.72,0.35,0.58,0.51,0.6,0.65,0.57,0.49,0.82,0.75,0.74,0.42,0.47,0.65,0.55,0.37,0.7,0.09
libopenmetaverse.csv,0.42,0.73,0.32,0.77,0.6,0.67,0.45,0.66,0.52,0.77,0.93,0.6,0.26,0.4,0.69,0.55,0.63,0.73,0.12
mevenide.csv,0.29,0.35,0.19,0.22,0.19,0.29,0.34,0.32,0.35,0.17,0.31,0.12,0.16,0.65,0.13,0.41,0.08,0.24,0.18
mobicents.csv,0.56,0.54,0.42,0.68,0.52,0.67,0.58,0.73,0.49,0.78,0.77,0.71,0.46,0.44,0.68,0.54,0.31,0.74,0.1
opendvr.csv,0.5,0.38,0.41,0.62,0.66,0.63,0.39,0.59,0.39,0.84,0.76,0.7,0.58,0.17,0.64,0.53,0.44,0.64,0.14
power-architect.csv,0.39,0.7,0.41,0.76,0.65,0.67,0.56,0.54,0.47,0.87,0.86,0.71,0.45,0.38,0.69,0.54,0.79,0.81,0.07
sidekar.csv,0.0,0.0,0.0,0.85,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.45,0.11,0.0,0.0,0.0,0.0,0.0
ta3d.csv,0.33,0.44,0.08,0.26,0.19,0.34,0.54,0.52,0.54,0.44,0.36,0.66,0.0,0.27,0.09,0.41,0.08,0.72,0.04
thedata.csv,0.42,0.62,0.26,0.69,0.44,0.56,0.44,0.61,0.5,0.77,0.77,0.62,0.35,0.29,0.64,0.55,0.45,0.79,0.62
