,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.46,0.27,0.83,0.48,0.5,0.54,0.76,0.48,0.06,0.7,0.62,0.98,0.97
aubit4gl.csv,0.31,0.55,0.67,0.59,0.71,0.46,0.96,0.3,0.53,0.43,0.62,0.63,0.0
bionote.csv,0.15,0.09,0.17,0.11,0.14,0.08,0.26,0.13,0.12,0.08,0.88,0.13,0.11
liferea.csv,0.54,0.27,0.0,0.44,0.57,0.85,0.37,0.52,0.12,0.46,0.88,0.43,0.97
opensim4opencog.csv,0.1,0.09,0.0,0.11,0.07,0.08,0.37,0.87,0.0,0.11,0.5,0.37,0.54
pclasses.csv,0.25,1.0,0.0,0.48,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.13,0.06
plearn.csv,0.73,0.55,0.17,0.63,0.43,0.62,0.74,0.17,0.53,0.78,0.12,0.85,0.6
psrchive.csv,0.12,0.09,0.17,0.0,1.0,0.0,0.19,0.09,0.06,0.08,0.0,0.13,0.0
re2c.csv,0.49,0.55,1.0,0.44,0.86,0.31,0.65,0.26,0.41,0.49,0.25,0.81,0.2
rebecca-aiml.csv,0.29,0.09,0.17,0.15,0.43,0.31,0.72,0.39,0.06,0.32,0.25,1.0,0.57
thrust.csv,0.24,0.0,0.5,0.11,0.43,0.38,0.48,0.17,0.94,0.08,0.0,0.37,0.4
tzod.csv,0.51,0.18,0.33,0.96,0.43,0.31,0.17,0.52,0.18,0.43,0.62,0.17,0.49
yaprm.csv,0.37,0.36,0.83,0.37,0.36,0.0,0.06,0.39,0.29,0.95,0.12,0.22,0.06
