,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.45,0.26,0.43,0.37,0.26,0.33,0.66,0.19,0.08,0.58,0.24,0.45,0.99
aubit4gl.csv,0.26,0.27,0.24,0.46,0.34,0.32,0.95,0.16,0.33,0.44,0.21,0.38,0.0
bionote.csv,0.24,0.13,0.22,0.2,0.22,0.11,0.37,0.15,0.15,0.15,0.93,0.21,0.17
liferea.csv,0.46,0.25,0.0,0.41,0.29,0.92,0.39,0.29,0.16,0.53,0.29,0.48,0.42
opensim4opencog.csv,0.15,0.15,0.0,0.2,0.11,0.12,0.45,0.93,0.0,0.19,0.23,0.34,0.57
pclasses.csv,0.31,1.0,0.0,0.51,0.0,0.0,0.0,0.07,0.0,0.14,0.0,0.16,0.1
plearn.csv,0.82,0.24,0.1,0.46,0.33,0.41,0.61,0.15,0.31,0.6,0.17,0.7,0.32
psrchive.csv,0.19,0.1,0.14,0.0,1.0,0.0,0.29,0.13,0.11,0.14,0.0,0.21,0.0
re2c.csv,0.43,0.28,1.0,0.44,0.36,0.21,0.6,0.13,0.34,0.49,0.11,0.56,0.33
rebecca-aiml.csv,0.36,0.13,0.29,0.19,0.29,0.25,0.62,0.19,0.11,0.41,0.24,1.0,0.47
thrust.csv,0.33,0.0,0.35,0.14,0.32,0.32,0.49,0.13,0.94,0.14,0.0,0.4,0.45
tzod.csv,0.43,0.17,0.17,0.98,0.29,0.3,0.25,0.25,0.27,0.48,0.53,0.2,0.38
yaprm.csv,0.38,0.24,0.5,0.38,0.2,0.0,0.1,0.29,0.31,0.96,0.1,0.2,0.11
