,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.45,0.25,0.29,0.3,0.18,0.23,0.59,0.12,0.12,0.5,0.15,0.29,1.0
aubit4gl.csv,0.23,0.18,0.15,0.37,0.23,0.24,0.93,0.11,0.24,0.46,0.13,0.27,0.0
bionote.csv,0.6,0.2,0.33,1.0,0.5,0.17,0.64,0.19,0.2,0.75,1.0,0.58,0.31
liferea.csv,0.4,0.23,0.0,0.39,0.2,1.0,0.41,0.2,0.25,0.63,0.18,0.56,0.27
opensim4opencog.csv,0.3,0.5,0.0,1.0,0.2,0.25,0.57,1.0,0.0,0.8,0.15,0.31,0.59
pclasses.csv,0.38,1.0,0.0,0.54,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.21,0.4
plearn.csv,0.93,0.16,0.07,0.36,0.27,0.31,0.51,0.12,0.21,0.48,0.25,0.6,0.22
psrchive.csv,0.5,0.1,0.12,0.0,1.0,0.0,0.67,0.29,1.0,0.6,0.0,0.5,0.0
re2c.csv,0.38,0.19,1.0,0.43,0.23,0.16,0.56,0.09,0.29,0.5,0.07,0.43,0.88
rebecca-aiml.csv,0.49,0.25,1.0,0.27,0.21,0.21,0.54,0.12,0.5,0.55,0.22,1.0,0.39
thrust.csv,0.52,0.0,0.27,0.18,0.26,0.28,0.5,0.1,0.94,0.6,0.0,0.43,0.52
tzod.csv,0.38,0.17,0.11,1.0,0.21,0.29,0.5,0.16,0.6,0.53,0.45,0.25,0.31
yaprm.csv,0.39,0.18,0.36,0.38,0.14,0.0,0.6,0.23,0.33,0.97,0.08,0.17,0.67
