,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.23,0.16,0.24,0.65,0.43,0.52,0.6,0.49,0.15,0.68,0.54,0.99,0.0
aubit4gl.csv,0.41,0.48,0.45,0.56,0.45,0.43,0.08,0.35,0.62,0.5,0.65,0.7,0.04
bionote.csv,0.04,0.07,0.04,0.0,0.03,0.11,0.17,0.08,0.17,0.03,0.0,0.04,0.09
liferea.csv,0.33,0.18,0.49,0.4,0.44,0.0,0.6,0.29,0.13,0.26,0.63,0.14,0.96
opensim4opencog.csv,0.1,0.02,0.0,0.0,0.05,0.07,0.31,0.0,0.0,0.03,0.44,0.33,0.13
pclasses.csv,0.16,0.0,0.0,0.23,0.03,0.0,0.0,0.02,0.0,0.05,0.0,0.2,0.03
plearn.csv,0.02,0.57,0.25,0.62,0.21,0.41,0.79,0.17,0.7,0.82,0.06,0.23,0.77
psrchive.csv,0.05,0.16,0.14,0.0,0.0,0.02,0.1,0.03,0.0,0.05,0.04,0.05,0.0
re2c.csv,0.33,0.46,0.0,0.33,0.55,0.48,0.56,0.38,0.36,0.47,0.54,0.45,0.01
rebecca-aiml.csv,0.12,0.05,0.0,0.23,0.29,0.34,0.69,0.39,0.02,0.26,0.13,0.0,0.32
thrust.csv,0.09,0.32,0.16,0.29,0.23,0.3,0.54,0.22,0.02,0.05,0.29,0.2,0.13
tzod.csv,0.34,0.18,0.31,0.0,0.29,0.23,0.19,0.37,0.04,0.37,0.12,0.2,0.39
yaprm.csv,0.23,0.32,0.18,0.33,0.4,0.05,0.04,0.18,0.21,0.03,0.21,0.43,0.01
