,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.28,0.44,0.47,0.41,0.68,0.75,0.55,0.4,0.58,0.42,0.65,0.66,0.74,0.51,0.47,0.57,0.35,0.48,0.82,0.49
buddata-ebxml-registry.csv,0.99,0.98,0.93,0.61,1.0,0.9,1.0,0.96,0.99,0.98,0.92,0.91,0.77,0.95,0.99,0.96,1.0,0.91,0.07,0.95
cornerstone.csv,0.51,0.7,0.55,0.55,0.77,0.72,0.95,0.64,0.96,0.97,0.38,0.85,0.67,0.58,0.49,0.69,0.51,0.78,0.72,0.91
emeraldemu.csv,0.64,0.5,0.59,0.88,0.88,0.88,0.61,0.38,0.69,0.5,0.78,0.5,0.75,0.78,0.52,0.63,0.29,0.6,0.98,0.7
jahshakafx.csv,0.31,0.43,0.61,0.44,0.75,0.8,0.57,0.46,0.58,0.55,0.6,0.74,0.56,0.61,0.44,0.55,0.32,0.57,0.6,0.48
jaolt.csv,0.35,0.5,0.44,0.6,0.71,0.66,0.56,0.48,0.49,0.63,0.61,0.67,0.53,0.76,0.55,0.6,0.41,0.62,0.49,0.69
kmess.csv,0.8,0.8,0.68,0.6,0.44,0.76,0.54,0.43,0.65,0.33,0.66,0.87,0.75,0.88,0.58,0.54,0.36,0.76,0.69,0.66
maya-work-in-progress.csv,0.66,0.47,0.44,0.57,0.74,0.62,0.64,0.63,0.7,0.23,0.91,0.63,0.79,0.71,0.64,0.63,0.71,0.5,0.41,0.71
mia.csv,0.73,0.65,0.74,0.46,0.96,0.83,0.71,0.64,0.68,0.54,0.72,0.33,0.85,0.48,0.88,0.8,0.35,0.8,0.94,0.84
mp-rechnungs-und-kundenverwaltung.csv,0.37,0.45,0.45,0.37,0.84,0.82,0.54,0.46,0.56,0.48,0.68,0.67,0.61,0.48,0.5,0.59,0.54,0.58,0.7,0.53
novembre.csv,0.39,0.47,0.93,0.9,0.76,0.73,0.35,0.63,0.82,0.63,0.68,1.01,0.65,0.69,0.47,0.66,0.14,0.61,0.67,0.7
ns-3.csv,0.49,0.44,0.67,0.53,0.68,0.53,0.9,0.81,0.66,0.62,0.57,0.88,0.63,0.58,0.82,0.89,0.92,0.72,0.63,0.79
nullc.csv,0.76,1.0,1.0,1.0,0.36,0.62,0.54,0.59,0.63,0.66,0.73,1.0,0.81,0.97,0.78,0.62,0.26,0.58,1.06,0.47
open-beos.csv,0.4,0.46,0.41,0.51,0.61,0.63,0.59,0.59,0.45,0.63,0.74,0.59,0.57,0.54,0.46,0.54,0.52,0.53,0.49,0.56
pixel-commandos.csv,0.98,0.69,0.86,0.74,0.86,0.87,0.74,0.89,0.92,0.97,0.97,1.0,0.85,0.84,0.81,0.77,0.05,0.84,1.04,0.84
plee-the-bear.csv,0.33,0.6,0.32,0.96,0.73,0.64,0.65,0.8,0.66,0.42,0.68,0.71,0.59,0.59,0.54,0.6,0.62,0.62,0.57,0.63
reaper-ecad.csv,0.51,0.8,0.62,0.39,0.74,0.97,1.0,0.65,0.85,0.97,0.8,0.83,0.76,1.0,0.57,0.75,0.75,0.83,0.85,0.95
unladen-swallow.csv,0.78,0.59,0.52,0.92,0.84,0.68,0.68,0.67,0.63,0.54,0.69,0.75,0.58,0.58,0.51,0.91,0.61,0.84,0.85,0.81
xmoto.csv,0.53,0.58,0.58,0.92,0.49,0.68,0.7,0.49,0.62,0.54,0.63,0.44,0.62,0.75,0.57,0.71,0.6,0.35,0.61,0.74
zxing.csv,0.41,0.48,0.44,0.66,0.62,0.77,0.58,0.53,0.67,0.69,0.65,0.8,0.59,0.65,0.53,0.59,0.37,0.6,0.64,0.31
