,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.8,0.53,0.35,0.63,0.53,0.87,0.58,0.69,0.54,0.5
betoffice.csv,0.76,0.15,0.26,0.62,0.5,0.8,0.59,0.58,0.47,0.41
bnetd.csv,0.9,0.54,0.35,0.65,0.41,0.69,0.67,0.7,0.52,0.44
graphmak.csv,0.21,0.69,0.48,0.7,0.4,0.59,0.6,0.66,0.06,0.48
hazelcast.csv,0.73,0.53,0.48,0.57,0.48,0.97,0.53,0.57,0.59,0.55
megasquirtavr.csv,0.86,0.35,0.5,0.54,0.22,0.75,0.48,0.62,0.23,0.23
pdfedit.csv,0.7,0.38,0.38,0.75,0.38,0.77,0.3,0.67,0.51,0.46
stajistics.csv,0.87,0.38,0.0,0.56,0.46,0.85,0.49,0.44,0.66,0.57
twostep.csv,0.75,0.53,0.43,0.63,0.51,0.85,0.47,0.67,0.78,0.51
xharbour.csv,0.86,0.52,0.4,0.67,0.49,0.82,0.61,0.62,0.6,0.47
