,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.46,0.98,1.0,0.69,0.51,0.35,0.9,0.52,0.98,0.69
betoffice.csv,0.93,0.98,0.75,0.8,0.89,1.02,0.64,0.88,0.9,0.87
bnetd.csv,1.0,0.91,0.9,0.76,0.66,0.81,1.0,0.42,1.0,0.95
graphmak.csv,0.89,0.34,0.6,0.75,0.73,0.88,0.85,0.97,0.97,0.58
hazelcast.csv,0.53,0.79,0.53,0.67,0.69,0.05,0.68,0.58,0.72,0.52
megasquirtavr.csv,0.9,0.92,0.56,0.74,0.85,1.04,0.74,0.72,1.07,0.89
pdfedit.csv,0.51,0.78,0.59,0.39,0.7,0.94,0.82,0.5,0.57,0.85
stajistics.csv,1.0,0.7,1.0,0.9,0.98,0.31,0.68,0.95,0.48,0.45
twostep.csv,0.42,0.68,0.53,0.64,0.68,0.27,0.81,0.57,0.25,0.7
xharbour.csv,0.24,0.89,0.82,0.98,0.82,0.64,0.81,0.93,0.48,0.86
