,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv
calcubetimer.csv,98.5,292.5,97.5,322.0,97.5,98.5
chaperon.csv,296.0,179.0,96.5,96.5,86.5,380.0
mule.csv,197.5,11.5,97.5,96.5,94.5,197.0
nunit.csv,94.5,293.0,97.5,96.5,83.5,853.5
springside.csv,197.5,95.5,409.5,722.5,94.5,197.0
swtfox.csv,197.5,390.5,98.5,767.5,85.5,957.0
