,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.44,0.83,0.36,0.0,0.0,0.13,0.18,0.41,0.35,0.67
aubit4gl.csv,0.03,0.5,0.29,0.0,0.7,0.13,0.32,0.03,0.74,0.2
liferea.csv,0.81,0.17,0.64,0.77,0.33,0.57,0.25,0.58,0.15,0.17
moving-pictures.csv,0.47,0.33,0.64,0.23,0.06,0.26,0.64,0.08,0.22,0.3
opensim4opencog.csv,0.58,0.33,0.64,0.54,0.72,0.48,0.54,0.47,0.48,0.53
plearn.csv,0.61,0.83,0.79,0.62,0.24,0.35,0.46,0.39,0.78,0.57
psrchive.csv,0.64,0.67,0.86,0.69,0.89,0.52,0.5,0.75,0.76,0.37
re2c.csv,0.34,1.0,0.57,0.31,0.22,0.35,0.68,0.3,0.76,0.27
rebecca-aiml.csv,0.58,0.83,0.86,0.85,0.87,0.7,0.93,0.47,0.8,0.7
xfce.csv,0.64,0.5,0.64,0.54,0.65,0.78,0.64,0.66,0.87,0.83
