,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.27,0.27,0.7,0.47,0.26,0.42,0.56,0.5,0.53,0.34
empserver.csv,0.41,0.4,0.34,0.32,0.63,0.67,0.62,0.68,0.41,0.28
enlightenment.csv,0.05,0.0,0.0,0.64,0.0,0.0,0.0,0.38,0.0,0.27
ffigo.csv,0.57,0.49,0.38,0.01,0.0,0.0,0.44,0.74,0.35,0.0
ildjit.csv,0.47,0.72,0.26,0.22,0.32,0.0,0.42,0.34,0.51,0.21
jfreereport.csv,0.16,0.04,0.47,0.19,0.1,0.15,0.27,0.38,0.1,0.06
mplayer-ce.csv,0.58,0.47,0.27,0.51,0.55,0.51,0.48,0.67,0.56,0.63
psycle.csv,0.65,0.4,0.48,0.65,0.63,0.66,0.36,0.54,0.6,0.57
wikipediardware.csv,0.63,0.58,0.0,0.6,0.13,0.38,0.33,0.44,0.54,0.76
wxjs.csv,0.09,0.0,0.1,0.01,0.04,0.95,0.0,0.0,0.0,0.04
