,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.37,0.18,0.33,0.53,0.33,0.18,0.43,0.57,0.52,0.44
empserver.csv,0.49,0.24,0.22,0.4,0.66,0.2,0.38,0.74,0.43,0.38
enlightenment.csv,0.79,0.37,0.23,0.68,0.69,0.15,0.36,0.79,0.62,0.83
ffigo.csv,0.63,0.43,0.16,0.01,0.0,0.0,0.35,0.78,0.4,0.0
ildjit.csv,0.54,0.66,0.24,0.27,0.38,0.0,0.3,0.43,0.49,0.3
jfreereport.csv,0.23,0.05,0.33,0.26,0.15,0.13,0.3,0.48,0.14,0.1
mplayer-ce.csv,0.65,0.29,0.24,0.56,0.62,0.18,0.38,0.72,0.56,0.73
psycle.csv,0.72,0.23,0.26,0.69,0.63,0.19,0.38,0.6,0.6,0.66
wikipediardware.csv,0.69,0.38,0.23,0.69,0.68,0.17,0.37,0.69,0.56,0.82
wxjs.csv,0.13,0.0,0.08,0.01,0.05,0.46,0.0,0.0,0.0,0.05
