,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.23,0.24,0.74,0.43,0.22,0.38,0.52,0.46,0.51,0.29
empserver.csv,0.36,0.38,0.87,0.28,0.61,1.0,0.84,0.75,0.37,0.24
enlightenment.csv,0.99,1.0,1.0,0.64,1.0,1.0,1.0,0.99,1.0,0.95
ffigo.csv,0.55,0.45,0.35,0.01,0.0,0.0,0.4,0.76,0.31,0.0
ildjit.csv,0.43,0.69,0.22,0.19,0.28,0.0,0.38,0.3,0.5,0.18
jfreereport.csv,0.13,0.03,0.43,0.16,0.08,0.12,0.23,0.33,0.08,0.05
mplayer-ce.csv,0.55,0.48,0.97,0.48,0.75,1.0,0.96,0.71,0.54,0.68
psycle.csv,0.64,0.41,0.97,0.73,0.64,0.88,0.99,0.51,0.77,0.53
wikipediardware.csv,0.62,0.79,0.99,0.79,0.97,1.0,0.99,0.78,0.73,0.74
wxjs.csv,0.07,0.0,0.08,0.01,0.03,1.0,0.0,0.0,0.0,0.03
