,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.04,0.42,0.42,0.27,0.15,0.24,0.24,0.27,0.36,0.07
empserver.csv,0.16,0.53,0.9,0.14,0.27,0.71,0.7,0.5,0.29,0.0
enlightenment.csv,0.99,1.0,1.0,0.34,1.0,1.0,1.0,0.89,1.0,0.93
ffigo.csv,0.36,0.2,0.47,0.0,0.0,0.14,0.25,0.34,0.22,0.07
ildjit.csv,0.3,0.12,0.1,0.24,0.18,0.28,0.32,0.18,0.45,0.14
jfreereport.csv,0.03,0.1,0.19,0.09,0.06,0.07,0.09,0.07,0.03,0.0
mplayer-ce.csv,0.27,0.57,0.93,0.33,0.73,0.83,0.84,0.45,0.31,0.5
psycle.csv,0.28,0.65,0.84,0.55,0.42,0.67,0.9,0.32,0.68,0.21
wikipediardware.csv,0.34,0.72,1.0,0.69,0.97,0.89,0.91,0.84,0.73,0.14
wxjs.csv,0.03,0.01,0.14,0.01,0.0,0.21,0.0,0.0,0.0,0.0
