,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.07,0.64,0.04,0.29,0.1,0.76,0.07,0.46,0.06,0.63,0.15,0.81,0.35,0.33,0.07,0.2
fleet-simulator.csv,0.05,0.7,0.08,0.96,0.52,0.55,0.5,0.54,0.07,0.5,0.29,0.98,0.44,0.42,0.35,0.82
geogebra.csv,0.07,0.33,0.12,0.13,0.53,0.05,0.57,0.36,0.09,0.64,0.28,0.46,0.38,0.52,0.0,0.49
gtad.csv,0.25,0.23,0.09,0.17,0.51,0.38,0.56,0.48,0.0,0.56,0.15,0.39,0.39,0.43,0.06,0.58
hibernate.csv,0.12,0.22,0.0,0.29,0.45,0.72,0.55,0.5,0.11,0.39,0.28,0.31,0.45,0.45,0.24,0.59
ipfire-wall.csv,0.1,0.31,0.0,0.27,0.72,0.1,0.56,0.48,0.11,0.36,0.16,0.54,0.35,0.36,0.11,0.65
irplus.csv,0.12,0.41,0.08,0.46,0.49,0.61,0.59,0.48,0.17,0.46,0.31,0.62,0.48,0.45,0.35,0.67
mumble.csv,0.15,0.6,0.0,0.32,0.11,0.48,0.67,0.41,0.02,0.38,0.32,0.99,0.38,0.35,0.29,0.45
ondex.csv,0.05,0.05,0.0,0.2,0.56,0.51,0.49,0.39,0.04,0.18,0.38,0.39,0.37,0.42,0.15,0.66
powerfolder.csv,0.11,0.36,0.0,0.22,0.5,0.62,0.52,0.33,0.43,0.4,0.21,0.53,0.41,0.33,0.23,0.67
projectts.csv,0.07,0.66,0.03,0.11,0.43,0.48,0.49,0.37,0.05,0.37,0.29,0.57,0.36,0.35,0.1,0.68
quantlib.csv,0.0,0.0,0.0,0.87,0.0,0.28,0.0,0.06,0.0,0.37,0.29,0.26,0.45,0.36,0.44,0.0
smartgwt.csv,0.06,0.6,0.07,0.83,0.5,0.68,0.48,0.29,0.32,0.59,0.25,0.12,0.42,0.29,0.33,0.85
tweetsharp.csv,0.09,0.62,0.03,0.54,0.38,0.71,0.53,0.41,0.02,0.12,0.26,0.18,0.39,0.25,0.16,0.81
wxlua.csv,0.03,0.63,0.0,0.89,0.39,0.64,0.26,0.28,0.38,0.52,0.24,0.06,0.11,0.15,0.33,0.83
