,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.67,0.58,0.39,0.27,0.17,0.54,0.0,0.39,0.33,0.61,0.56,0.21,0.02,0.34
calcubetimer.csv,0.81,0.35,0.42,0.56,0.39,0.29,0.87,0.23,0.37,0.0,0.38,0.3,0.09,0.38
chaosrts.csv,0.38,0.56,0.46,0.3,0.54,0.27,0.47,0.42,0.62,0.45,0.57,0.77,0.06,0.44
chaperon.csv,0.52,0.15,0.6,0.36,0.56,0.98,0.32,0.01,0.61,0.73,0.15,0.17,0.3,0.51
dxengine.csv,0.34,0.28,0.69,0.66,0.07,0.69,0.0,0.46,0.46,0.14,0.54,0.17,0.74,0.28
emono.csv,0.28,0.43,0.61,0.25,0.5,0.49,0.54,0.54,0.67,0.55,0.5,0.33,0.39,0.62
factor.csv,0.06,0.21,0.35,0.65,0.2,0.0,0.75,0.27,0.37,0.0,0.62,0.04,0.9,0.3
jas.csv,0.17,0.4,0.71,0.66,0.53,0.55,0.0,0.22,0.52,0.88,0.35,0.25,0.62,0.47
jmoney.csv,0.85,0.44,0.74,0.38,0.55,0.54,0.56,0.25,0.51,0.62,0.21,0.57,0.27,0.49
jmonkeyengine.csv,0.32,0.37,0.63,0.75,0.74,0.48,0.16,0.24,0.54,0.41,0.62,0.36,0.72,0.26
matrex.csv,0.71,0.35,0.18,0.67,0.07,0.29,0.29,0.82,0.18,0.43,0.02,0.45,0.28,0.07
primefaces.csv,0.57,0.45,0.09,0.71,0.0,0.69,0.59,0.76,0.51,0.75,0.8,0.66,0.17,0.0
roolo.csv,0.51,0.62,0.56,0.37,0.44,0.62,0.58,0.41,0.77,0.21,0.49,0.38,0.06,0.57
sblim.csv,0.6,0.14,0.65,0.85,0.32,0.52,0.17,0.23,0.23,0.0,0.37,0.39,0.58,0.2
