,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.53,0.36,0.96,0.33,0.7,0.9,0.83,0.75,0.73,0.8,0.71,0.81,1.0,0.78
chrysalis.csv,0.85,1.0,1.0,1.0,1.0,0.78,1.0,1.03,1.0,1.0,1.0,1.0,1.0,0.52
etics.csv,0.39,0.73,0.43,0.84,0.77,0.61,1.0,0.8,0.75,0.72,0.52,0.67,1.0,0.79
flexpay.csv,0.69,1.0,0.59,0.51,1.0,1.0,1.0,0.77,0.99,0.74,1.0,1.0,1.0,0.98
ifmo-game-1.csv,1.0,1.0,1.0,1.0,1.0,0.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93
jcl.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
linuxsh.csv,0.85,1.0,0.36,1.0,1.0,0.48,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.63
mvdsv.csv,1.0,1.0,1.0,1.0,0.68,1.0,0.03,1.0,1.0,1.0,0.69,1.0,1.0,1.0
openmeetings.csv,0.69,1.0,0.84,0.46,1.0,1.0,1.0,0.9,1.0,0.85,1.0,1.0,1.0,1.0
plato.csv,0.62,0.84,0.77,0.94,1.0,1.0,1.0,0.12,0.64,1.0,1.0,1.04,1.0,0.95
projecteqemu.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scite-ru.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
uclmda.csv,0.98,0.73,1.0,0.81,0.8,0.99,1.07,0.69,0.73,1.0,0.9,0.0,1.0,0.55
vrjuggler.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
