,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.47,0.52,0.45,0.6,0.61,0.47,0.4,0.42,0.46,0.79,0.51,0.44,0.0,0.51
chrysalis.csv,0.67,0.0,0.0,0.0,0.0,0.43,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.91
etics.csv,0.7,0.52,0.42,0.46,0.92,0.44,0.75,0.36,0.45,0.37,0.4,0.26,0.0,0.72
flexpay.csv,0.39,0.0,0.41,0.6,0.0,0.44,0.0,0.39,0.0,0.4,0.0,0.0,0.0,0.47
ifmo-game-1.csv,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86
jcl.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linuxsh.csv,0.8,0.0,0.88,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.76
mvdsv.csv,0.0,0.67,0.0,0.0,0.68,0.0,0.88,0.0,0.92,0.0,0.7,0.0,0.37,0.0
openmeetings.csv,0.39,0.0,0.43,0.93,0.0,0.44,0.0,0.37,0.0,0.72,0.0,0.0,0.0,0.46
plato.csv,0.44,0.82,0.43,0.41,0.0,0.44,0.5,0.47,0.66,0.36,0.0,0.75,0.0,0.49
projecteqemu.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scite-ru.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uclmda.csv,0.4,0.56,0.44,0.41,0.59,0.43,0.44,0.5,0.43,0.36,0.91,0.26,0.0,0.41
vrjuggler.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
