,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.76,0.85,0.88,0.11,1.0,0.89,0.7,0.76,0.72,1.07,0.67,0.69,0.66,0.8,1.1,0.53,0.67,0.9,0.81,0.78
alpine.csv,0.98,1.0,0.86,0.8,0.95,0.9,1.0,0.83,0.97,0.95,0.95,0.08,1.0,0.92,0.93,0.98,0.96,0.93,0.98,0.87
enzo.csv,0.83,0.89,0.88,0.74,0.99,0.84,0.97,0.99,1.09,0.74,0.71,0.82,0.78,0.65,0.39,0.81,0.04,0.94,0.54,0.68
flylinkdc.csv,0.81,0.0,0.77,0.62,1.0,0.84,0.9,0.76,0.99,0.97,0.61,0.63,0.78,0.69,1.08,0.6,0.87,0.72,0.67,0.94
fw4spl.csv,0.74,0.93,0.75,0.77,0.95,0.88,0.89,0.08,0.45,0.88,1.1,1.0,0.6,0.88,0.89,0.82,1.07,0.68,0.92,0.82
grisbi.csv,0.6,0.62,0.85,0.67,0.98,0.72,0.86,0.96,0.95,0.63,0.02,0.65,0.72,0.74,0.52,0.62,0.46,0.99,0.55,0.45
jcae.csv,1.0,1.0,0.93,1.0,1.0,1.0,0.0,0.98,1.0,0.95,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.67,1.0,1.0
jcl.csv,0.91,0.89,0.91,0.77,0.94,1.01,1.0,0.88,0.73,0.96,1.0,0.86,0.9,0.83,1.21,0.82,0.99,0.07,0.87,0.75
libarchive.csv,0.63,0.53,0.62,0.55,0.64,0.63,0.71,0.58,0.83,0.49,0.62,0.45,0.94,0.79,0.69,0.61,0.38,0.88,0.54,0.02
mimosa.csv,0.63,0.67,0.79,0.58,0.99,0.59,0.43,0.79,0.8,0.0,0.76,0.62,0.81,0.97,0.87,0.84,0.8,0.46,0.51,0.86
n2cms.csv,0.93,0.85,0.73,0.82,0.78,0.08,0.64,0.94,0.92,0.76,1.0,0.92,1.0,0.96,0.75,0.77,0.9,0.63,0.85,0.55
nabu-library.csv,0.68,0.65,0.86,0.68,0.98,0.65,0.74,0.64,0.78,0.82,0.45,0.63,0.74,0.69,0.01,0.66,0.99,0.85,0.84,0.96
net-snmp.csv,0.02,0.66,0.56,0.61,0.96,0.59,0.77,0.61,0.94,0.65,0.51,0.49,0.56,0.76,0.57,0.56,0.62,0.56,0.67,0.64
ossbuild.csv,0.67,0.54,0.73,0.61,0.78,0.69,0.46,0.82,0.0,0.67,0.97,0.76,0.86,0.74,1.05,0.61,0.87,0.33,0.83,0.71
quickfast.csv,0.68,0.54,0.67,0.67,0.96,0.59,0.66,0.61,0.87,0.58,0.59,0.55,1.0,0.73,0.73,0.64,0.46,0.81,0.02,0.78
tcvp.csv,0.88,0.95,0.9,0.9,1.0,0.78,0.65,0.98,0.95,0.99,0.96,0.86,0.0,0.92,0.87,1.0,0.88,0.7,0.84,0.9
vdsf.csv,0.89,0.93,0.86,0.98,0.12,0.97,0.98,0.94,0.94,0.97,1.01,0.93,0.86,0.97,0.99,0.86,1.0,0.89,0.95,1.01
virtuoso.csv,0.8,0.85,0.73,0.53,0.85,0.76,0.82,0.61,0.76,0.65,0.67,0.92,0.94,1.0,0.98,0.07,0.51,0.68,0.8,0.75
xbrlapi.csv,0.72,0.69,0.02,0.87,1.0,0.69,0.61,0.78,0.9,0.7,0.59,0.56,0.62,0.82,0.58,0.87,0.88,0.94,0.62,0.91
yarp.csv,0.73,0.61,0.84,0.61,0.87,0.78,0.47,0.8,0.88,0.75,0.63,0.63,0.58,0.08,0.87,0.98,0.71,0.84,0.68,0.92
