,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.49,0.93,0.97,0.95,0.64,0.66,0.83,0.89,0.8,0.5,0.38,0.47,0.81,0.48,0.75,0.33,0.9
emeraldemu.csv,0.48,0.45,0.46,0.53,0.55,0.89,0.69,0.54,0.58,0.5,0.42,0.83,0.66,0.0,0.48,0.0,0.64
grafx2.csv,0.36,0.42,0.49,0.51,0.7,0.54,0.47,0.49,0.51,0.55,0.35,0.42,0.36,0.36,0.35,0.32,0.71
jahshakafx.csv,0.33,0.45,0.41,0.43,0.37,0.63,0.47,0.39,0.4,0.47,0.33,0.6,0.33,0.29,0.33,0.27,0.4
kindb.csv,0.38,0.47,0.45,0.64,0.41,0.65,0.34,0.49,0.41,0.44,0.4,0.93,0.41,0.38,0.43,0.3,0.45
maya-work-in-progress.csv,0.45,0.44,0.43,0.51,0.46,0.44,0.33,0.36,0.39,0.44,0.31,0.35,0.32,0.33,0.39,0.29,0.42
novembre.csv,0.51,0.5,0.93,0.83,0.7,0.66,0.55,0.58,0.43,0.62,0.49,0.47,0.96,0.43,0.49,0.48,0.87
ns-3.csv,0.44,0.42,0.5,0.5,0.59,0.47,0.35,0.42,0.49,0.51,0.53,0.41,0.39,0.6,0.45,0.46,0.47
nullc.csv,0.52,0.48,0.4,0.53,0.51,0.56,0.42,0.47,0.51,0.73,0.39,0.65,0.43,0.42,0.45,0.53,0.55
open-beos.csv,0.36,0.4,0.56,0.56,0.46,0.48,0.39,0.37,0.5,0.65,0.5,0.39,0.39,0.49,0.37,0.41,0.46
pixel-commandos.csv,0.86,0.62,0.91,0.69,0.8,0.96,0.86,0.98,0.97,0.67,0.89,0.5,0.97,0.62,0.59,0.77,0.9
planeshift.csv,0.49,0.45,0.43,0.53,0.51,0.46,0.36,0.38,0.39,0.42,0.41,0.38,0.35,0.36,0.42,0.37,0.45
plee-the-bear.csv,0.36,0.59,0.51,0.83,0.47,0.43,0.36,0.38,0.39,0.51,0.38,0.41,0.39,0.55,0.43,0.5,0.41
reaper-ecad.csv,0.58,0.98,0.99,0.7,0.62,0.83,0.0,0.93,0.95,0.0,0.93,0.0,0.7,0.0,0.77,0.86,0.0
sbml.csv,0.39,0.4,0.43,0.49,0.43,0.41,0.34,0.35,0.42,0.47,0.34,0.36,0.32,0.33,0.37,0.44,0.39
unimrcp.csv,0.47,0.5,0.48,0.6,0.44,0.43,0.33,0.47,0.51,0.48,0.38,0.45,0.4,0.45,0.45,0.3,0.5
unladen-swallow.csv,0.97,0.58,0.64,0.89,0.86,0.51,0.36,0.57,0.57,0.59,0.92,0.41,0.5,0.43,0.93,0.47,0.48
