,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.18,0.1,0.05,0.08,0.09,0.09,0.15,0.12,0.01,0.0,0.36,0.2,0.04,0.11,0.0,0.06,0.09
emeraldemu.csv,0.63,0.36,0.51,0.98,0.09,0.15,0.18,0.19,0.17,0.19,0.72,0.04,0.07,0.0,0.12,0.0,0.21
grafx2.csv,0.31,0.35,0.38,0.23,0.18,0.24,0.28,0.22,0.28,0.13,0.55,0.41,0.43,0.16,0.62,0.25,0.16
jahshakafx.csv,0.27,0.24,0.42,0.25,0.18,0.13,0.25,0.41,0.3,0.09,0.57,0.11,0.24,0.13,0.31,0.12,0.3
kindb.csv,0.34,0.43,0.51,0.46,0.36,0.17,0.72,0.33,0.41,0.38,0.72,0.08,0.37,0.13,0.16,0.12,0.33
maya-work-in-progress.csv,0.72,0.52,0.42,0.28,0.91,0.4,0.68,0.57,0.71,0.15,0.96,0.51,0.39,0.21,0.28,0.19,0.67
novembre.csv,0.15,0.32,0.2,0.31,0.0,0.2,0.25,0.3,0.48,0.15,0.38,0.51,0.07,0.21,0.44,0.25,0.13
ns-3.csv,0.28,0.35,0.66,0.48,0.27,0.45,0.85,0.67,0.46,0.64,0.26,0.95,0.57,0.92,0.75,1.0,0.77
nullc.csv,0.89,1.0,1.0,1.0,0.09,0.37,0.5,0.48,0.47,0.09,0.79,0.18,0.59,0.29,0.38,0.12,0.32
open-beos.csv,0.42,0.4,0.25,0.41,0.18,0.27,0.52,0.53,0.24,0.09,0.3,0.91,0.48,0.71,0.31,0.75,0.47
pixel-commandos.csv,0.01,0.58,0.27,0.49,0.0,0.07,0.08,0.1,0.05,0.02,0.13,0.03,0.02,0.18,0.19,0.12,0.07
planeshift.csv,0.97,0.84,0.77,0.99,0.82,0.53,0.82,0.56,0.75,0.66,0.77,0.85,0.33,0.34,0.69,0.56,0.6
plee-the-bear.csv,0.31,0.2,0.26,0.03,0.55,0.61,0.5,0.75,0.65,0.32,0.64,0.55,0.61,0.71,0.56,0.75,0.7
reaper-ecad.csv,0.12,0.01,0.13,0.22,0.0,0.01,0.0,0.07,0.02,0.0,0.11,0.0,0.02,0.0,0.06,0.0,0.0
sbml.csv,0.39,0.44,0.64,0.7,0.09,0.44,0.82,0.83,0.4,0.91,0.6,0.78,0.65,0.16,0.34,0.88,0.69
unimrcp.csv,0.59,0.57,0.44,0.68,0.09,0.29,0.75,0.32,0.28,0.43,0.87,0.26,0.28,0.08,0.19,0.19,0.43
unladen-swallow.csv,0.08,0.19,0.18,0.04,0.09,0.13,0.5,0.29,0.19,0.09,0.09,0.31,0.28,0.13,0.09,0.19,0.34
