,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.31,0.14,0.0,0.11,0.15,0.16,0.32,0.37,0.0,0.18,0.31,1.0,0.14
bacula.csv,0.56,0.54,0.23,0.58,0.63,0.67,0.56,0.32,0.98,0.61,0.57,0.47,0.64
elmo.csv,0.02,0.1,1.0,0.0,0.06,0.05,0.05,0.02,0.05,0.06,0.09,0.11,0.0
jajuk.csv,0.71,0.54,0.5,0.69,0.97,0.66,0.63,0.38,0.62,0.7,0.71,0.21,0.72
ktc.csv,0.97,0.44,0.24,0.55,0.57,0.39,0.44,0.28,0.36,0.44,0.66,0.19,0.37
neoengine.csv,0.67,0.42,0.69,0.97,0.53,0.47,0.46,0.39,0.6,0.53,0.64,0.28,0.6
omseek.csv,0.54,0.44,0.0,0.13,0.28,0.2,0.23,0.3,0.01,0.13,0.28,0.0,0.95
pcgen.csv,0.06,0.16,0.24,0.3,0.33,0.3,0.1,0.3,0.5,0.16,0.96,0.13,0.07
rosegarden.csv,0.48,0.21,0.0,0.41,0.26,0.4,0.51,0.49,0.47,0.97,0.4,0.59,0.43
selenium.csv,0.67,0.98,0.63,0.7,0.47,0.7,0.55,0.47,0.52,0.64,0.61,0.46,0.67
vapor.csv,0.42,0.37,0.0,0.32,0.2,0.16,0.9,0.05,0.27,0.28,0.05,0.17,0.21
zorannt.csv,0.44,0.51,0.43,0.52,0.53,0.86,0.48,0.57,0.38,0.33,0.42,0.43,0.45
zscreen.csv,0.75,0.64,0.75,0.69,0.65,0.55,0.66,1.0,0.53,0.66,0.51,0.42,0.59
