,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.4,0.26,0.0,0.14,0.49,0.28,0.2,0.33,0.0,0.18,0.54,0.02,0.29
bacula.csv,0.33,0.37,0.24,0.39,0.31,0.44,0.45,0.26,0.04,0.47,0.36,0.56,0.36
elmo.csv,0.05,0.02,0.0,0.0,0.07,0.04,0.07,0.0,0.06,0.12,0.09,0.05,0.02
jajuk.csv,0.31,0.37,0.7,0.33,0.0,0.27,0.52,0.07,0.67,0.31,0.35,0.53,0.46
ktc.csv,0.0,0.48,0.18,0.12,0.43,0.2,0.25,0.11,0.2,0.09,0.44,0.33,0.18
neoengine.csv,0.38,0.31,0.69,0.0,0.21,0.23,0.62,0.59,0.63,0.33,0.4,0.41,0.51
omseek.csv,0.34,0.22,0.04,0.03,0.12,0.03,0.24,0.19,0.04,0.06,0.14,0.19,0.0
pcgen.csv,0.05,0.04,0.15,0.1,0.03,0.04,0.08,0.11,0.37,0.07,0.0,0.15,0.05
rosegarden.csv,0.07,0.11,0.13,0.13,0.04,0.12,0.51,0.48,0.37,0.0,0.31,0.39,0.22
selenium.csv,0.19,0.0,0.24,0.34,0.12,0.51,0.48,0.3,0.49,0.41,0.25,0.65,0.31
vapor.csv,0.18,0.19,0.0,0.09,0.14,0.1,0.0,0.0,0.2,0.1,0.16,0.11,0.11
zorannt.csv,0.58,0.54,0.37,0.56,0.5,0.0,0.62,0.59,0.88,0.29,0.3,0.43,0.64
zscreen.csv,0.49,0.61,0.63,0.62,0.67,0.6,0.65,0.0,0.78,0.62,0.81,0.87,0.59
