,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.33,0.69,0.19,0.37,0.75
nabu-library.csv,0.19,0.2,0.8,0.3,0.24
pcgen.csv,0.91,0.21,0.99,0.92,0.99
selenium.csv,0.37,0.25,0.54,0.44,0.8
tolven.csv,0.15,0.14,0.05,0.24,0.01
