,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.94,0.74,0.88,0.97,0.98
nabu-library.csv,0.46,0.55,0.4,0.46,0.58
pcgen.csv,0.86,0.52,0.96,0.62,0.95
selenium.csv,0.51,0.62,0.47,0.49,0.67
tolven.csv,0.88,0.55,0.94,0.61,0.93
