,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.74,0.94,0.36,0.23,0.21
aime.csv,0.57,0.78,0.13,0.0,0.3
badtrinitycore.csv,0.0,0.5,0.31,0.38,0.17
electric-core.csv,0.56,0.8,0.43,0.19,0.2
olsrd.csv,0.62,0.94,0.35,0.22,0.17
