,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.29,0.15,0.29,0.26,0.5
aime.csv,0.54,0.95,0.56,0.01,0.34
badtrinitycore.csv,0.0,0.05,0.25,0.18,0.59
electric-core.csv,0.79,0.65,0.22,0.36,0.72
olsrd.csv,0.67,0.15,0.25,0.27,0.44
