,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,1.0,0.07,0.42,0.2,0.46,0.15,0.84,0.28,0.27,0.38,0.7
bscwweasel.csv,0.67,0.25,0.33,0.33,0.52,0.23,0.71,0.28,0.35,0.43,0.86
capcode.csv,1.0,0.11,0.27,0.15,0.33,0.37,0.76,0.38,0.32,0.38,0.74
lamp.csv,0.5,0.24,0.31,0.12,0.32,0.14,0.74,0.36,0.3,0.46,0.68
nodal.csv,1.0,0.17,0.4,0.15,0.27,0.2,0.88,0.38,0.56,0.42,0.9
pydev.csv,0.52,0.2,0.41,0.15,0.41,0.16,0.69,0.23,0.38,0.53,0.67
retromenu.csv,1.0,0.16,0.69,0.25,0.65,0.09,0.77,0.23,0.3,0.75,0.95
smbopensoft.csv,0.81,0.1,0.22,0.14,0.27,0.07,0.78,0.22,0.36,0.29,0.87
stuproa-cims.csv,0.0,0.67,0.37,0.26,0.42,0.25,0.5,0.54,0.2,0.38,0.76
thout.csv,0.49,0.1,0.46,0.21,0.38,0.16,0.75,0.26,0.28,0.37,0.69
uface.csv,0.49,0.1,0.22,0.18,0.39,0.17,0.73,0.27,0.3,0.35,0.95
