,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,98.5,567.5,98.5,289.5,639.5,195.0,98.5,197.0,97.5,295.5,98.5
bscwweasel.csv,96.5,89.5,197.5,192.0,280.5,96.5,98.5,296.0,288.5,295.5,98.5
capcode.csv,98.5,295.0,197.5,196.0,560.0,96.5,95.5,308.5,196.0,295.5,98.5
lamp.csv,197.5,192.0,196.5,575.0,756.0,195.0,98.5,98.5,190.0,197.0,98.5
nodal.csv,98.5,95.5,197.5,383.0,756.0,93.5,95.5,248.5,93.5,295.5,98.5
pydev.csv,293.0,95.5,197.5,577.0,360.0,96.5,98.5,296.0,288.5,187.0,98.5
retromenu.csv,98.5,567.0,98.5,178.0,89.5,167.0,98.5,193.0,190.0,183.5,98.5
smbopensoft.csv,98.5,394.0,98.5,294.5,756.0,290.5,96.5,294.0,97.5,282.5,98.5
stuproa-cims.csv,5.5,91.5,197.5,379.0,756.0,165.0,155.5,187.0,190.0,385.0,98.5
thout.csv,98.5,394.0,382.0,92.5,565.0,292.5,98.5,395.0,196.0,295.5,98.5
uface.csv,197.5,394.0,197.5,294.5,280.5,292.5,98.5,392.5,290.5,274.5,98.5
