,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.06,0.11,0.37,0.29,0.49,0.24,0.76,0.34,0.42,0.43,0.57
bscwweasel.csv,0.04,0.18,0.35,0.45,0.55,0.29,0.51,0.39,0.33,0.46,0.68
capcode.csv,0.04,0.19,0.41,0.25,0.31,0.51,0.54,0.33,0.47,0.45,0.52
lamp.csv,0.65,0.35,0.34,0.2,0.48,0.25,0.85,0.48,0.42,0.57,0.71
nodal.csv,0.02,0.23,0.46,0.24,0.38,0.31,0.12,0.35,0.58,0.55,0.78
pydev.csv,0.59,0.29,0.34,0.26,0.55,0.26,0.29,0.32,0.42,0.59,0.67
retromenu.csv,0.04,0.24,0.37,0.25,0.72,0.12,0.7,0.21,0.32,0.27,0.5
smbopensoft.csv,0.81,0.18,0.35,0.23,0.39,0.1,0.75,0.23,0.37,0.36,0.69
stuproa-cims.csv,0.0,0.24,0.4,0.33,0.56,0.25,0.04,0.54,0.26,0.46,0.77
thout.csv,0.34,0.18,0.51,0.29,0.52,0.27,0.85,0.4,0.44,0.44,0.77
uface.csv,0.66,0.18,0.36,0.29,0.56,0.28,0.82,0.38,0.41,0.39,0.94
