,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.18,0.14,0.85,0.51,0.55,0.39,0.09,0.16,0.3,0.13,0.13,0.35,0.68
codepurge.csv,0.0,0.24,0.94,0.48,0.5,0.43,0.18,0.3,0.4,0.28,0.36,0.48,0.77
crisscross.csv,0.23,0.34,0.85,0.51,0.49,0.39,0.09,0.28,0.31,0.14,0.23,0.46,0.65
elvishrayrenderer.csv,0.0,0.17,0.91,0.47,0.55,0.36,0.09,0.39,0.35,0.24,0.17,0.45,0.83
gwanted.csv,0.5,0.26,0.84,0.67,0.42,0.62,0.4,0.32,0.69,0.42,0.25,0.67,0.76
jitterbit.csv,0.0,0.2,0.86,0.56,0.18,0.67,0.09,0.54,0.34,0.24,0.16,0.51,0.73
ldview.csv,0.37,0.35,0.85,0.5,0.5,0.64,0.12,0.4,0.38,0.18,0.17,0.66,0.72
libopenmetaverse.csv,0.23,0.15,0.85,0.66,0.5,0.38,0.12,0.27,0.29,0.17,0.15,0.47,0.65
mb-unit.csv,0.43,0.21,0.9,0.5,0.43,0.75,0.11,0.3,0.35,0.21,0.21,0.61,0.69
mvdsv.csv,0.22,0.0,0.87,0.6,0.5,0.75,0.75,0.5,0.25,0.09,0.0,0.83,1.0
nova.csv,0.55,0.2,0.84,0.46,0.51,0.32,0.0,0.27,0.3,0.21,0.12,0.46,0.62
olex2.csv,0.27,0.23,0.9,0.71,0.57,0.0,0.25,0.28,0.44,0.27,0.11,0.7,0.89
tolven.csv,0.44,0.35,0.91,0.45,0.43,0.54,0.11,0.53,0.59,0.33,0.18,0.57,0.67
