,scenemonitor.csv,panda3d.csv,jchassis.csv,xcf.csv,coot.csv
coot.csv,0.5,0.37,0.06,0.47,0.74
jchassis.csv,0.0,0.0,0.44,0.0,0.0
panda3d.csv,0.46,0.52,0.07,0.27,0.65
scenemonitor.csv,0.7,0.07,0.0,0.28,0.25
xcf.csv,0.43,0.39,0.04,0.78,0.61
