,scenemonitor.csv,panda3d.csv,jchassis.csv,xcf.csv,coot.csv
coot.csv,0.9,0.69,0.88,0.9,0.37
jchassis.csv,1.0,1.0,0.08,1.0,1.0
panda3d.csv,0.7,0.51,0.79,0.85,0.87
scenemonitor.csv,0.35,0.96,1.0,0.83,0.87
xcf.csv,0.7,0.71,0.93,0.35,0.59
