,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.43,0.0,0.42,0.25,0.22,0.35,0.7,0.16,0.53,0.56,0.6,0.63,0.44
gamestone.csv,0.19,0.58,0.22,0.33,0.17,0.0,0.25,0.22,0.0,0.12,0.37,0.21,0.35
gbif-providertoolkit.csv,0.57,0.0,0.37,0.45,0.52,0.76,0.53,0.39,0.21,0.54,0.52,0.71,0.32
growl-for-windows.csv,0.65,0.18,0.0,0.0,0.44,0.41,0.6,0.0,0.0,0.0,0.69,0.8,0.0
gss.csv,0.73,0.44,0.66,0.47,0.29,0.65,0.56,0.49,0.33,0.77,0.79,0.62,0.54
heekscad.csv,0.81,0.43,0.63,0.47,0.33,0.6,0.48,0.5,0.41,0.85,0.65,0.56,0.59
igarden.csv,0.6,0.3,0.57,0.52,0.44,0.67,0.59,0.29,0.49,0.47,0.53,0.32,0.44
levent.csv,0.34,0.22,0.0,0.0,0.31,0.74,0.59,0.0,0.0,0.0,0.75,0.56,0.0
openmsx.csv,0.73,0.25,0.43,0.47,0.37,0.73,0.58,0.54,0.28,0.66,0.7,0.73,0.24
pnotepad.csv,0.71,0.3,0.62,0.47,0.28,0.68,0.51,0.4,0.33,0.95,0.71,0.52,0.59
quark.csv,0.55,0.36,0.51,0.15,0.32,0.08,0.48,0.18,0.61,0.34,0.22,0.05,0.34
tango-cs.csv,0.71,0.29,0.54,0.45,0.33,0.68,0.43,0.52,0.34,0.75,0.62,0.55,0.59
xcsoar.csv,0.74,0.22,0.69,0.48,0.44,0.47,0.4,0.42,0.33,0.34,0.48,0.78,0.42
