,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.36,0.35,0.31,0.15,0.27,0.09,0.3,0.05,0.23,0.3,0.6,0.17,0.43
gamestone.csv,0.0,0.17,0.14,0.4,0.27,0.0,0.47,0.15,0.15,0.1,0.05,0.39,0.57
gbif-providertoolkit.csv,0.64,0.63,0.32,0.51,0.25,0.57,0.13,0.47,0.4,0.6,0.95,0.22,0.1
growl-for-windows.csv,0.13,0.04,0.0,0.0,0.37,0.09,0.93,0.0,0.0,0.0,0.8,0.17,0.0
gss.csv,0.36,0.33,0.66,0.85,0.85,0.57,1.0,0.77,1.0,0.2,0.2,0.83,0.8
heekscad.csv,0.26,0.27,0.32,0.47,0.63,0.48,0.57,0.44,0.71,0.6,0.05,0.56,0.65
igarden.csv,0.09,0.17,0.21,0.32,0.21,0.22,0.73,0.12,0.4,0.1,0.15,0.06,0.68
levent.csv,0.04,0.0,0.0,0.0,0.69,0.3,0.97,0.0,0.0,0.0,0.25,0.44,0.0
openmsx.csv,0.89,0.9,0.49,0.89,0.39,0.61,0.93,0.27,0.23,0.7,0.55,0.78,0.19
pnotepad.csv,0.19,0.6,0.75,0.97,0.9,0.48,0.97,0.74,1.0,0.0,0.4,0.72,0.86
quark.csv,0.15,0.02,0.04,0.07,0.1,0.0,0.13,0.05,0.23,0.0,0.1,0.0,0.41
tango-cs.csv,0.74,0.4,0.63,0.67,0.78,0.57,0.4,0.67,0.98,0.7,0.6,0.5,0.35
xcsoar.csv,0.19,0.15,0.23,0.5,0.27,0.26,0.5,0.41,1.0,0.0,0.4,0.5,0.45
