,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.05,0.02,0.07,0.95,0.2,0.13,0.11,0.26,0.05,0.21,0.1,0.0,0.16
cuberok.csv,0.31,0.11,0.73,0.88,0.0,0.27,0.3,0.32,0.26,0.38,0.48,0.15,0.12
exist.csv,0.45,0.17,0.17,0.55,0.4,0.19,0.34,0.3,0.02,0.42,0.35,0.23,0.22
google-web-toolkit.csv,0.35,0.23,0.29,0.4,0.4,0.26,0.23,0.21,0.48,0.08,0.01,0.43,0.25
gwanted.csv,0.82,0.0,0.89,0.98,0.09,0.03,0.13,0.0,0.13,0.04,0.73,0.01,0.0
ivatamasks.csv,0.58,0.02,0.7,0.78,0.49,0.33,0.67,0.64,0.41,0.75,0.69,0.43,0.34
ivataopenportal.csv,0.33,0.36,0.38,0.65,0.6,0.01,0.59,0.46,0.62,0.29,0.54,0.5,0.88
jaxen.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.0,0.0
rockbox.csv,0.35,0.36,0.67,0.6,0.54,0.44,0.55,0.56,0.46,0.42,0.67,0.48,0.0
rodin-b-sharp.csv,0.13,0.15,0.07,0.92,0.06,0.07,0.0,0.12,0.14,0.29,0.15,0.14,0.03
tcl.csv,0.44,0.32,0.22,0.0,0.51,0.26,0.25,0.26,0.16,0.42,0.26,0.31,0.25
umber.csv,0.0,0.32,0.0,0.7,0.43,0.25,0.15,0.1,0.06,0.54,0.23,0.32,0.12
wheat.csv,0.44,0.09,0.34,0.0,0.43,0.41,0.47,0.37,0.64,0.04,0.34,0.57,0.41
