,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.81,0.89,0.19,0.82,0.27,0.9,0.81,0.78,0.85,0.32,0.2,0.61,0.86,0.81,0.71,0.15
customsagetv.csv,0.42,0.19,0.0,0.36,0.55,0.25,0.42,0.13,0.31,0.39,0.21,0.16,0.5,0.14,0.32,0.9
fluidium.csv,0.08,0.01,0.0,0.27,0.0,0.35,0.0,0.04,0.0,0.0,0.0,0.0,0.09,0.62,0.02,0.06
guineu.csv,0.77,0.63,0.0,0.09,0.27,0.35,0.3,0.74,0.31,0.2,0.26,0.45,0.41,1.0,0.56,0.88
inkscape.csv,0.58,0.74,1.0,1.0,0.32,0.25,0.74,0.65,0.92,0.7,0.14,1.0,0.86,1.0,0.98,0.98
mpqc.csv,0.31,0.09,0.07,0.0,0.27,0.5,0.12,0.43,0.15,0.29,0.63,0.37,0.2,0.67,0.17,0.38
nsis.csv,0.73,0.67,0.74,0.27,0.73,0.7,0.77,0.43,0.69,0.66,0.71,0.79,0.8,0.29,0.8,0.79
octave.csv,0.46,0.43,0.38,0.45,0.55,0.2,0.23,0.43,0.46,0.32,0.16,0.37,0.14,0.33,0.36,0.02
owfs.csv,0.69,0.91,1.0,0.55,0.68,0.6,0.72,0.78,0.69,0.82,0.83,0.95,0.77,0.76,0.88,0.96
owlib.csv,0.77,0.69,0.67,1.0,0.73,0.35,0.6,0.65,0.62,0.55,0.48,0.45,0.75,0.57,0.31,0.73
pamguard.csv,0.46,0.45,0.67,0.64,0.5,0.45,0.6,0.65,0.62,0.32,0.26,0.74,0.73,0.1,0.68,0.46
prelude.csv,0.96,0.99,0.86,1.0,0.95,0.75,1.0,0.91,0.85,0.96,0.66,0.76,0.95,0.71,0.95,0.96
robocode.csv,0.88,0.57,0.0,0.55,0.68,0.6,0.84,0.78,0.85,0.61,0.36,0.34,0.84,0.62,0.54,0.63
uwom-server.csv,0.31,0.4,0.0,0.09,0.59,0.4,0.6,0.35,0.69,0.59,0.34,0.53,0.2,0.52,0.34,0.42
zengine.csv,1.0,0.94,0.76,0.82,1.0,0.85,0.98,0.96,0.85,0.89,0.99,0.87,1.0,0.43,0.9,0.88
zildo.csv,0.69,0.83,0.6,0.73,0.45,0.3,0.56,0.35,0.62,0.41,0.22,0.55,0.68,0.29,0.69,0.81
