,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.39,0.69,0.89,0.97,0.0,0.52,0.78,0.3,0.43,0.52,0.37,0.34,0.64,0.25,0.72,0.78,0.18,0.45,0.28,0.66
blogentis.csv,0.58,0.71,0.72,0.13,1.0,0.21,0.29,0.3,0.39,0.26,0.61,0.32,0.7,0.1,0.85,0.11,0.3,0.06,0.81,0.29
carabiner.csv,0.83,0.93,0.57,0.8,0.27,0.16,0.55,0.3,0.87,0.51,0.78,0.73,0.77,0.1,0.79,0.5,0.54,0.24,0.64,0.63
continuum-ide.csv,0.01,0.71,0.06,0.29,0.64,0.14,0.1,0.3,0.18,0.13,0.43,0.11,0.17,0.2,0.23,0.33,0.24,0.04,0.13,0.3
emulemorph.csv,0.0,0.01,0.02,0.38,0.0,0.44,0.36,0.0,0.02,0.11,0.01,0.68,0.35,0.5,0.08,0.07,0.04,0.39,0.31,0.36
free-evolution.csv,0.39,1.0,1.0,0.36,0.09,0.43,0.57,0.5,0.56,0.54,0.42,0.24,0.43,0.65,0.85,0.65,0.38,0.45,0.42,0.98
gtad.csv,0.17,0.67,0.48,0.17,0.0,0.19,0.45,0.0,0.24,0.34,0.13,0.06,0.27,0.0,0.33,0.41,0.15,0.14,0.13,0.26
htmlunit.csv,0.45,0.81,0.52,0.43,0.0,0.38,0.64,0.0,0.29,0.66,0.26,0.22,0.46,0.1,0.54,0.74,0.45,0.43,0.23,0.69
jaxen.csv,0.85,0.84,0.91,0.57,1.0,0.54,0.81,0.8,0.35,0.89,0.44,0.1,0.84,0.75,0.85,0.8,0.86,0.82,0.53,0.77
jsr308-langtools.csv,0.69,0.39,0.0,0.0,0.73,0.88,1.0,1.0,0.78,1.0,0.0,0.99,0.0,0.1,0.9,0.98,0.9,1.0,0.86,0.31
jvcl.csv,0.08,0.04,0.0,0.22,0.0,0.09,0.3,0.0,0.33,0.25,0.07,0.34,0.29,0.05,0.28,0.17,0.09,0.33,0.05,0.52
kaffeine.csv,0.93,0.09,0.44,0.99,0.09,0.47,0.67,0.4,0.54,0.57,0.61,0.59,0.92,0.95,0.79,0.59,0.56,0.43,0.55,0.5
m-m-m.csv,0.39,0.33,0.5,0.81,0.18,0.77,0.9,0.3,0.83,0.97,0.76,1.0,0.61,0.55,0.69,0.93,0.8,0.98,0.45,0.34
motu.csv,0.59,0.57,0.71,0.93,0.27,0.81,0.97,0.3,0.65,0.11,0.99,0.99,0.61,0.9,0.49,0.3,0.64,0.41,0.28,0.91
nh3d.csv,1.0,0.46,0.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13,1.0,0.04,0.95,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.69,0.3,0.59,0.73,0.0,0.28,0.41,0.2,0.37,0.33,0.21,0.45,0.32,0.45,0.44,0.43,0.12,0.27,0.43,0.25
taokgame.csv,0.23,0.01,0.0,0.31,0.0,0.26,0.25,0.0,0.09,0.59,0.06,0.2,0.31,0.4,0.23,0.17,0.44,0.27,0.08,0.15
wgs-assembler.csv,0.37,0.31,0.66,0.97,0.0,0.37,0.52,0.2,0.39,0.41,0.33,0.34,0.44,0.3,0.44,0.46,0.34,0.22,0.3,0.27
