,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.43,0.45,0.48,0.54,0.68,0.55,0.63
encog-java.csv,0.98,0.97,0.48,0.93,0.68,0.62,0.6
galaxium.csv,0.89,0.81,0.73,0.58,0.88,0.6,0.64
h2database.csv,0.51,0.98,0.86,0.95,0.67,0.92,0.92
haphazard.csv,0.98,0.96,0.92,0.96,0.96,0.92,0.88
jaql.csv,0.41,0.46,0.51,0.57,0.77,0.38,0.44
raven-monitoring.csv,0.64,0.64,0.67,0.75,0.69,0.65,0.87
