,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.25,0.98,0.57,0.53,0.53,0.68,0.58,0.22,0.57,0.34,0.29,0.43,0.47
bdbbasic.csv,0.09,0.58,0.65,0.6,0.94,0.54,0.58,0.14,0.62,0.29,0.43,0.35,0.44
foursquared.csv,0.0,0.39,0.55,0.98,0.17,0.14,0.28,0.08,0.47,0.19,0.36,0.1,0.17
impala.csv,0.65,0.59,0.17,0.16,0.3,0.34,0.41,0.96,0.19,0.46,0.2,0.48,0.24
jicarilla.csv,0.94,0.09,0.07,0.0,0.07,0.0,0.09,0.07,0.05,0.08,0.0,0.0,0.0
ng4j.csv,0.05,0.59,0.49,0.66,0.61,0.68,0.52,0.09,0.51,0.36,0.3,0.58,0.97
open-data-kit.csv,0.05,0.04,0.54,0.58,0.17,0.99,0.54,0.14,0.61,0.48,0.34,0.15,0.35
pentahoanalysistool.csv,0.29,0.18,0.96,0.53,0.42,0.24,0.24,0.04,0.46,0.0,0.31,0.19,0.25
tradelink.csv,0.18,0.53,0.41,0.54,0.5,0.22,0.2,0.12,0.49,0.15,1.0,0.35,0.15
turbotrader-bos.csv,0.0,0.62,0.42,0.46,0.5,0.4,0.41,0.14,0.97,0.12,0.41,0.44,0.26
ultimairis.csv,0.53,0.63,0.47,0.55,0.53,0.68,0.51,0.24,0.44,0.92,0.4,0.75,0.39
wikipediardware.csv,0.56,0.79,0.53,0.55,0.49,0.72,0.6,0.22,0.5,0.43,0.29,0.99,0.36
yafdotnet.csv,0.05,0.71,0.43,0.29,0.1,0.41,0.99,0.19,0.54,0.16,0.19,0.57,0.38
