,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.52,0.42,0.4,0.31,0.45,0.42,0.37,0.39,0.41,0.61,0.36,0.62,0.42
bdbbasic.csv,0.5,0.39,0.46,0.42,0.65,0.48,0.51,0.47,0.4,0.73,0.54,0.75,0.4
foursquared.csv,0.0,0.69,0.71,0.57,0.8,0.86,0.96,0.96,0.67,0.8,0.95,0.67,0.75
impala.csv,0.77,0.67,0.75,0.74,0.54,0.81,0.51,0.96,0.86,0.44,0.49,0.79,0.53
jicarilla.csv,0.87,0.88,0.67,0.67,0.9,0.8,0.97,0.75,0.94,0.75,0.75,0.0,0.9
ng4j.csv,0.86,0.47,0.48,0.41,0.71,0.5,0.57,0.53,0.47,0.41,0.52,0.65,0.79
open-data-kit.csv,0.73,0.5,0.43,0.33,0.94,0.45,0.46,0.41,0.48,0.58,0.55,0.67,0.75
pentahoanalysistool.csv,0.88,0.9,0.64,0.9,0.8,0.93,0.95,0.96,0.84,0.0,0.86,0.75,0.75
tradelink.csv,0.92,0.54,0.77,0.92,0.77,0.94,0.94,0.96,0.67,0.88,0.95,0.77,0.86
turbotrader-bos.csv,0.8,0.59,0.53,0.54,0.51,0.77,0.85,0.76,0.61,0.8,0.53,0.76,0.73
ultimairis.csv,0.65,0.54,0.41,0.38,0.44,0.49,0.44,0.37,0.54,0.79,0.45,0.45,0.61
wikipediardware.csv,0.51,0.39,0.38,0.35,0.39,0.37,0.35,0.33,0.42,0.38,0.33,0.46,0.41
yafdotnet.csv,0.71,0.49,0.67,0.94,0.87,0.62,0.52,0.57,0.53,0.93,0.44,0.62,0.53
