,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.24,0.98,0.73,0.61,0.72,0.62,0.58,0.58,0.7,0.39,0.53,0.33,0.69
bdbbasic.csv,0.07,0.5,0.74,0.7,0.91,0.46,0.57,0.31,0.7,0.27,0.57,0.25,0.54
foursquared.csv,0.0,0.31,0.56,0.97,0.13,0.1,0.21,0.1,0.47,0.13,0.42,0.06,0.12
impala.csv,0.67,0.51,0.22,0.2,0.41,0.29,0.45,0.93,0.23,0.39,0.39,0.38,0.37
jicarilla.csv,0.92,0.06,0.05,0.0,0.06,0.0,0.07,0.05,0.04,0.05,0.0,0.0,0.0
ng4j.csv,0.04,0.51,0.62,0.78,0.58,0.62,0.52,0.23,0.63,0.48,0.53,0.47,0.96
open-data-kit.csv,0.04,0.02,0.7,0.69,0.19,0.99,0.59,0.4,0.71,0.54,0.54,0.1,0.47
pentahoanalysistool.csv,0.21,0.12,0.94,0.43,0.31,0.17,0.18,0.05,0.4,0.0,0.25,0.13,0.18
tradelink.csv,0.14,0.45,0.41,0.47,0.47,0.16,0.15,0.14,0.52,0.11,1.0,0.28,0.12
turbotrader-bos.csv,0.0,0.54,0.53,0.52,0.69,0.32,0.34,0.28,0.96,0.07,0.69,0.36,0.34
ultimairis.csv,0.42,0.44,0.39,0.61,0.73,0.6,0.47,0.43,0.53,0.89,0.69,0.41,0.59
wikipediardware.csv,0.4,0.35,0.56,0.66,0.52,0.57,0.44,0.13,0.27,0.26,0.44,0.99,0.38
yafdotnet.csv,0.04,0.47,0.45,0.29,0.13,0.35,1.0,0.43,0.63,0.13,0.37,0.34,0.55
