,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.73,0.38,0.38,0.98
jajuk.csv,0.99,0.37,0.36,0.67
vapor.csv,0.49,0.15,1.0,0.04
zorannt.csv,0.62,0.95,0.27,0.8
