,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.46,0.0,0.24,0.62,0.49,0.56,0.6,0.58,0.84,0.54,0.65,0.99
gwanted.csv,0.13,0.16,0.15,0.17,0.29,0.0,0.43,1.0,0.29,0.0,0.49,0.11
ivatamasks.csv,0.79,0.69,0.45,0.99,0.42,0.3,0.58,0.47,0.73,0.47,0.49,0.46
java-gnome.csv,0.74,0.75,0.69,0.49,0.42,0.36,0.45,0.36,0.99,0.04,0.38,0.45
orc.csv,0.13,0.2,0.95,0.02,0.38,0.56,0.06,0.13,0.0,0.0,0.41,0.06
plato.csv,0.29,0.71,0.35,0.36,0.58,0.98,0.6,0.55,0.38,0.27,0.53,0.72
rodin-b-sharp.csv,0.42,0.59,0.35,0.4,0.32,0.44,0.98,0.36,0.71,0.07,0.38,0.34
tycho.csv,0.34,0.56,0.39,0.5,0.49,0.58,0.57,0.47,0.63,1.0,0.47,0.4
umber.csv,1.0,0.44,0.33,0.56,0.07,0.23,0.61,0.29,0.69,0.29,0.21,0.37
unicase.csv,0.87,0.88,0.76,0.66,0.26,0.5,0.72,0.56,0.78,0.27,1.0,0.37
vienna-add-in.csv,0.9,0.0,0.05,0.37,0.99,0.5,0.3,0.74,0.61,0.6,0.63,0.23
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.24
