,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.21,0.98,0.1,0.82,0.63,0.84,0.39,0.19,0.91,0.56,0.8,0.98
gwanted.csv,0.08,1.0,0.67,1.0,0.62,0.77,0.71,1.0,0.93,0.0,0.69,1.0
ivatamasks.csv,0.46,1.0,0.09,1.0,0.63,0.85,0.46,0.16,0.88,0.55,0.74,0.73
java-gnome.csv,0.52,0.99,0.14,0.9,0.64,0.82,0.48,0.18,0.98,0.2,0.84,0.66
orc.csv,0.06,1.0,1.0,0.25,0.55,0.85,0.16,0.2,0.0,0.0,0.62,0.5
plato.csv,0.12,0.99,0.09,0.61,0.68,1.0,0.4,0.17,0.68,0.57,0.74,0.75
rodin-b-sharp.csv,0.58,0.99,0.1,0.78,0.7,0.89,1.0,0.21,0.89,0.67,0.79,0.56
tycho.csv,0.16,1.0,0.06,0.67,0.67,0.85,0.38,0.16,0.86,1.0,0.71,0.67
umber.csv,0.95,0.98,0.06,0.69,0.83,1.0,0.58,0.25,0.84,0.43,0.83,0.52
unicase.csv,0.47,1.0,0.16,0.75,0.78,0.87,0.56,0.18,0.89,0.73,0.99,0.55
vienna-add-in.csv,0.56,0.99,0.09,0.68,1.0,0.82,0.38,0.24,0.82,0.6,0.77,0.61
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.83,0.36,0.17,0.78,0.56,0.73,0.66
