,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.31,0.94,0.17,0.69,0.57,0.73,0.51,0.29,0.9,0.56,0.74,0.99
gwanted.csv,0.09,0.23,0.21,0.25,0.36,0.7,0.5,1.0,0.39,0.0,0.63,0.17
ivatamasks.csv,0.59,0.78,0.15,0.99,0.49,0.4,0.51,0.23,0.82,0.5,0.58,0.53
java-gnome.csv,0.61,0.91,0.24,0.59,0.48,0.47,0.44,0.23,0.99,0.05,0.48,0.51
orc.csv,0.07,0.3,0.97,0.04,0.52,0.83,0.08,0.14,0.0,0.0,0.52,0.09
plato.csv,0.18,0.89,0.16,0.63,0.69,0.99,0.54,0.28,0.53,0.72,0.78,0.79
rodin-b-sharp.csv,0.45,0.76,0.15,0.49,0.4,0.56,0.99,0.25,0.8,0.11,0.47,0.4
tycho.csv,0.21,0.67,0.11,0.71,0.57,0.75,0.48,0.23,0.73,1.0,0.74,0.78
umber.csv,0.97,0.6,0.1,0.64,0.11,0.32,0.58,0.25,0.91,0.32,0.3,0.48
unicase.csv,0.63,0.93,0.27,0.74,0.34,0.62,0.63,0.28,0.86,0.35,1.0,0.43
vienna-add-in.csv,0.71,0.99,0.15,0.78,0.99,0.74,0.54,0.39,0.88,0.73,0.74,0.68
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.89,0.53,0.3,0.88,0.71,0.84,0.78
