,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.0,0.34,0.0,0.51,0.39,0.67,0.68
kftpgrabber.csv,0.32,0.25,0.16,0.7,0.25,0.19,0.37
kindb.csv,0.5,0.63,0.84,0.59,0.25,0.27,0.44
m-a-d-n-e-s-s.csv,0.32,0.69,0.86,0.22,0.56,0.22,0.32
netatalk.csv,0.36,0.55,0.78,0.47,0.53,0.34,0.77
quickfast.csv,0.32,0.46,0.71,0.56,0.47,0.42,0.82
wow-qrsk.csv,0.57,0.39,0.0,0.53,0.48,0.25,0.19
