,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.0,0.46,0.0,0.59,0.29,0.74,0.6
kftpgrabber.csv,0.39,0.19,0.11,0.79,0.17,0.27,0.3
kindb.csv,0.56,0.7,0.78,0.71,0.17,0.28,0.36
m-a-d-n-e-s-s.csv,0.29,0.77,0.82,0.16,0.75,0.21,0.25
netatalk.csv,0.65,0.7,0.39,0.61,0.65,0.6,0.75
quickfast.csv,0.48,0.13,0.64,0.67,0.67,0.68,0.8
wow-qrsk.csv,0.82,0.44,0.0,0.57,0.65,0.43,0.13
