,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.44,0.53,0.47,0.5
ngl.csv,0.5,0.56,0.56,0.51
qmmp.csv,0.5,0.53,0.45,0.54
quarkplusplus.csv,0.67,0.79,0.72,0.79
