,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.29,0.32,0.0,0.44,0.01,0.15
codeblocks.csv,0.15,0.47,0.79,0.35,0.75,0.59
dataobjectsdotnet.csv,0.43,0.35,0.7,0.41,0.65,0.59
n2cms.csv,0.66,0.3,0.47,0.4,0.72,0.5
nug.csv,0.47,0.64,0.21,0.28,0.69,0.5
uclmda.csv,0.0,0.0,0.44,0.07,1.0,0.18
