,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.55,0.09,0.32,0.53,0.0,0.42,0.6,0.41,0.72,0.43,0.68,0.49,0.77,0.52,0.4,0.13,0.5,0.72
encog-cs.csv,0.51,0.27,0.7,0.64,0.47,0.49,0.68,0.49,0.24,0.38,0.52,0.5,0.46,0.64,0.32,0.51,0.53,0.09
geochat.csv,0.1,0.37,0.19,0.3,0.52,0.69,0.15,0.28,0.25,0.12,0.23,0.32,0.24,0.3,0.19,0.22,0.56,0.07
ibatisdb.csv,0.06,0.06,0.11,0.4,0.06,0.58,0.43,0.0,0.1,0.06,0.05,0.72,0.24,0.48,0.19,0.35,0.31,0.06
inkscape.csv,0.55,0.0,0.67,0.64,0.36,0.13,0.05,0.51,0.45,0.51,0.21,0.17,0.0,0.64,0.62,0.17,0.57,0.23
jam-daq.csv,0.21,0.79,0.02,0.06,0.06,0.49,0.18,0.67,0.05,0.18,0.26,0.13,0.0,0.05,0.13,0.17,0.37,0.17
jhotdraw.csv,0.14,0.26,0.27,0.48,0.1,0.6,0.2,0.21,0.52,0.12,0.54,0.61,0.43,0.47,0.52,0.61,0.2,0.31
ninject.csv,0.32,0.06,0.31,0.45,0.56,0.29,0.28,0.05,0.29,0.47,0.39,0.71,0.97,0.45,0.45,0.59,0.46,0.48
ofbiz.csv,0.33,0.67,0.51,0.61,0.34,0.53,0.62,0.26,0.12,0.34,0.69,0.36,0.68,0.61,0.21,0.29,0.48,0.43
oorexx.csv,0.56,0.43,0.52,0.58,0.44,0.38,0.59,0.71,0.43,0.47,0.28,0.37,0.0,0.58,0.62,0.71,0.41,0.3
opentibia.csv,0.77,0.42,0.02,0.19,0.31,0.1,0.53,0.05,0.49,0.45,0.33,0.74,0.45,0.18,0.53,0.07,0.45,0.47
projectts.csv,0.54,0.73,0.55,0.56,0.52,0.35,0.5,0.21,0.34,0.29,0.38,0.35,0.63,0.54,0.35,0.47,0.52,0.7
retromenu.csv,0.37,0.84,0.09,0.25,0.1,0.28,0.61,0.41,0.07,0.18,0.38,0.26,0.24,0.24,0.33,0.2,0.0,0.25
roolo.csv,0.55,0.5,0.69,0.61,0.55,0.56,0.52,0.55,0.59,0.75,0.47,0.52,0.0,0.6,0.58,0.53,0.49,0.26
tango-cs.csv,0.47,0.54,0.47,0.24,0.58,0.55,0.33,0.61,0.33,0.38,0.61,0.54,0.75,0.27,0.6,0.61,0.43,0.24
trinitycore.csv,0.27,0.28,0.59,0.57,0.35,0.49,0.07,0.52,0.54,0.62,0.47,0.0,0.43,0.61,0.5,0.36,0.2,0.39
uface.csv,0.6,0.67,0.4,0.55,0.53,0.3,0.64,0.24,0.46,0.48,0.65,0.74,0.59,0.57,0.59,0.17,0.24,0.94
uwom-server.csv,0.39,0.65,0.68,0.66,0.37,0.43,0.34,0.61,0.58,0.59,0.47,0.22,0.62,0.67,0.57,0.49,0.31,0.55
