,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.61,0.27,0.21,0.78,0.91,0.63,0.35,0.83,0.41,0.62,0.39,0.32,1.0,0.85,0.78
glelite.csv,0.96,0.69,0.93,1.0,1.0,0.94,0.97,0.97,0.96,0.68,0.78,0.95,0.0,0.92,0.81
hannosset.csv,0.16,0.08,0.14,0.14,0.03,0.23,0.0,0.19,0.49,0.22,0.23,0.0,1.0,0.23,0.0
ipfilter.csv,0.95,0.52,0.83,0.92,0.96,0.83,0.55,0.86,0.71,0.57,0.49,0.05,1.0,0.73,0.75
moving-pictures.csv,0.14,0.46,0.0,0.22,0.14,0.51,0.23,0.47,0.51,0.3,0.59,0.32,0.0,0.69,0.22
pclasses.csv,0.18,0.33,0.0,0.18,0.58,0.09,0.39,0.42,0.35,0.89,0.38,0.16,0.67,0.19,0.69
pfaedit.csv,0.11,0.33,0.0,0.3,0.45,0.17,0.06,0.17,0.45,0.02,0.84,0.0,0.0,0.23,0.25
qcad2.csv,0.11,0.17,0.14,0.58,0.3,0.74,0.1,0.29,0.57,0.05,0.3,0.26,0.33,0.73,0.22
rockbox.csv,0.29,0.65,0.0,0.4,0.16,0.46,0.26,0.27,0.51,0.74,0.68,0.21,0.0,0.35,0.25
roller.csv,0.8,0.88,1.0,0.96,0.9,0.8,0.9,0.97,0.27,0.87,0.99,0.95,1.0,0.77,0.78
theresa.csv,0.3,0.38,0.14,0.24,0.09,0.31,0.19,0.25,0.35,0.11,0.43,0.53,0.0,0.62,0.06
tzod.csv,0.09,0.31,0.17,0.12,0.18,0.29,0.1,0.17,0.25,0.07,0.28,0.53,0.0,0.54,0.12
xinity.csv,0.77,0.79,1.0,0.64,0.84,0.74,0.9,0.51,0.27,0.54,0.39,0.63,1.0,0.46,0.91
zabbix.csv,0.25,0.4,0.34,0.14,0.43,0.51,0.19,0.24,0.61,0.1,0.61,0.63,0.0,0.81,0.34
