,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.0,0.07,0.07,0.05,0.06,0.08,0.0,0.0,0.05,0.05,0.04
etherboot.csv,0.3,0.31,0.32,0.0,0.21,0.18,0.78,0.2,0.43,0.23,0.34
ffigo.csv,0.27,0.41,0.28,0.3,0.4,0.21,0.33,0.3,0.0,0.44,0.33
gebr.csv,0.67,0.77,0.43,0.7,0.77,0.03,0.67,0.38,0.68,0.93,0.77
gpac.csv,0.6,0.41,0.59,0.31,0.0,0.16,0.44,0.65,0.43,0.41,0.47
libtorrent.csv,0.81,0.76,0.45,0.66,0.91,0.29,0.0,0.7,0.75,0.84,0.7
miranda.csv,0.28,0.3,0.26,0.51,0.32,0.16,0.22,0.12,0.14,0.27,0.01
modellus.csv,0.48,0.37,0.32,0.33,0.47,0.11,0.39,0.01,0.14,0.81,0.23
mplayer-ce.csv,0.78,0.86,0.72,0.89,0.89,0.97,0.94,0.79,0.89,0.0,0.81
nicepress.csv,0.12,0.34,0.0,0.07,0.34,0.0,0.11,0.1,0.2,0.57,0.28
vapor.csv,0.0,0.0,0.06,0.08,0.02,0.0,0.06,0.42,0.02,0.0,0.11
