,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,1.0,0.08,0.0,0.05,0.04,0.08,0.0,0.01,0.05,0.05,0.01
etherboot.csv,0.6,0.36,0.39,0.91,0.2,0.3,0.33,0.31,0.5,0.31,0.41
ffigo.csv,0.6,0.36,0.42,0.41,0.48,0.56,0.53,0.3,1.0,0.52,0.51
gebr.csv,1.0,0.76,0.64,0.82,0.86,0.96,0.77,0.64,0.86,0.93,0.87
gpac.csv,0.4,0.32,0.53,0.27,0.95,0.28,0.44,0.47,0.29,0.34,0.38
libtorrent.csv,1.0,0.88,0.67,0.55,0.96,0.58,0.99,0.88,0.86,0.88,0.86
miranda.csv,0.2,0.24,0.31,0.41,0.3,0.37,0.36,0.33,0.07,0.28,0.98
modellus.csv,0.2,0.2,0.39,0.32,0.71,0.17,0.4,0.94,0.51,0.73,0.39
mplayer-ce.csv,0.8,0.88,0.53,0.95,0.8,0.86,0.8,0.69,0.83,0.97,0.78
nicepress.csv,0.0,0.48,1.0,0.05,0.5,0.39,0.25,0.23,0.29,0.57,0.45
vapor.csv,0.0,0.8,0.17,0.14,0.0,0.05,0.21,0.26,0.03,0.0,0.18
