,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.0,0.92,1.0,0.96,0.97,0.92,1.0,0.99,0.95,0.96,0.99
etherboot.csv,0.5,0.71,0.69,0.09,0.83,0.73,1.03,0.71,0.66,0.73,0.68
ffigo.csv,0.48,0.76,0.65,0.66,0.66,0.49,0.58,0.76,0.0,0.65,0.59
gebr.csv,0.67,0.81,0.57,0.73,0.78,0.05,0.7,0.53,0.7,0.93,0.79
gpac.csv,0.85,0.79,0.76,0.79,0.05,0.74,0.71,0.84,0.83,0.78,0.78
libtorrent.csv,0.81,0.77,0.56,0.8,0.92,0.51,0.01,0.71,0.76,0.85,0.72
miranda.csv,0.85,0.82,0.74,0.78,0.77,0.65,0.68,0.68,0.94,0.77,0.02
modellus.csv,0.93,0.88,0.69,0.76,0.55,0.83,0.71,0.06,0.51,0.85,0.65
mplayer-ce.csv,0.8,0.87,0.86,0.89,0.91,0.98,0.96,0.85,0.9,0.03,0.84
nicepress.csv,1.01,0.62,0.0,0.96,0.6,0.61,0.76,0.77,0.74,0.71,0.62
vapor.csv,1.0,0.2,0.84,0.87,1.0,0.95,0.8,0.85,0.97,1.0,0.82
