,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.73,0.79,0.67,0.53,0.48,0.53,0.59,0.42,0.79,0.5,0.0,0.59,0.0,0.51,0.54,0.98
echongl.csv,0.47,0.0,0.48,0.36,0.62,0.59,0.64,0.59,0.33,1.0,0.88,0.59,0.12,0.56,0.61,0.51
findbugs.csv,0.57,0.0,0.6,0.38,0.46,0.38,0.29,0.36,0.0,0.0,0.0,0.13,0.07,0.33,0.94,0.59
google-web-toolkit.csv,0.19,0.38,0.63,0.63,0.2,0.3,0.27,0.5,0.12,0.13,0.0,0.38,0.05,0.99,0.21,0.2
gwanted.csv,0.63,0.33,0.23,0.18,0.52,0.49,0.51,0.94,0.04,0.32,0.0,0.44,0.1,0.44,0.48,0.23
ivatamasks.csv,0.72,0.57,0.65,0.99,0.43,0.54,0.52,0.61,0.57,0.51,0.69,0.53,0.78,0.55,0.5,0.4
onotoa.csv,0.74,0.7,0.48,0.24,0.27,0.99,0.54,0.53,0.34,0.53,0.62,0.38,0.3,0.47,0.59,0.36
orc.csv,0.13,0.05,0.95,0.1,0.59,0.53,0.54,0.46,0.51,0.25,0.0,0.33,0.07,0.54,0.57,0.55
plato.csv,0.3,0.0,0.32,0.0,1.0,0.0,0.42,0.17,0.0,0.0,0.57,0.48,0.5,0.37,0.35,0.4
proftp.csv,0.74,0.54,0.56,0.54,0.44,0.36,0.32,0.5,0.94,0.38,0.0,0.6,0.45,0.41,0.47,0.31
rodin-b-sharp.csv,0.0,0.51,0.43,0.2,0.17,0.26,0.98,0.21,0.04,0.63,0.0,0.12,0.0,0.17,0.21,0.29
uclmda.csv,0.62,0.32,0.41,0.12,0.3,0.45,0.27,0.17,0.55,0.2,0.0,0.35,1.0,0.34,0.39,0.52
umber.csv,1.0,0.57,0.44,0.62,0.34,0.36,0.52,0.29,0.52,0.0,0.0,0.3,0.43,0.48,0.45,0.43
unicase.csv,0.79,0.9,0.63,0.42,0.7,0.52,0.52,0.61,0.38,0.57,0.8,0.99,0.0,0.59,0.57,0.49
wpdev.csv,0.0,1.0,0.0,0.17,0.39,0.0,0.09,0.09,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.24
